Two	CD	two
tall	JJ	tall
cylindrical	JJ	cylindrical
Glade	NP	Glade
Potpourri	NN	potpourri
Carpet	NN	carpet
&	CC	&
Room	NP	Room
Deodorizer	NN	deodorizer
containers	NNS	container
stand	VBP	stand
upright	RB	upright
outdoors	RB	outdoors
among	IN	among
grass	NN	grass
,	,	,
leaves	VBZ	leave
,	,	,
and	CC	and
small	JJ	small
natural	JJ	natural
debris	NN	debris
,	,	,
as	RB	as
if	IN	if
set	VBN	set
in	IN	in
a	DT	a
sunny	JJ	sunny
garden	NN	garden
.	SENT	.
The	DT	the
cans	NNS	can
have	VBP	have
dark	JJ	dark
potpourri-patterned	JJ	<unknown>
bodies	NNS	body
and	CC	and
large	JJ	large
cream-colored	JJ	cream-colored
labels	NNS	label
.	SENT	.
The	DT	the
left	JJ	left
can	NN	can
has	VBZ	have
green	JJ	green
accents	NNS	accent
and	CC	and
an	DT	an
apple	NN	apple
symbol	NN	symbol
,	,	,
with	IN	with
a	DT	a
visible	JJ	visible
“	``	"
Fresh	NP	Fresh
Apple	NP	Apple
”	''	"
label	NN	label
near	IN	near
the	DT	the
bottom	NN	bottom
.	SENT	.
The	DT	the
right	JJ	right
can	NN	can
has	VBZ	have
red	JJ	red
accents	NNS	accent
and	CC	and
a	DT	a
flower-like	JJ	flower-like
symbol	NN	symbol
,	,	,
with	IN	with
a	DT	a
red	JJ	red
fragrance	NN	fragrance
label	NN	label
.	SENT	.
The	DT	the
Glade	NP	Glade
logo	NN	logo
appears	VBZ	appear
near	IN	near
the	DT	the
top	NN	top
of	IN	of
each	DT	each
container	NN	container
,	,	,
and	CC	and
“	``	"
Potpourri	NN	potpourri
Carpet	NN	carpet
&	CC	&
Room	NP	Room
Deodorizer	NN	deodorizer
”	''	"
is	VBZ	be
printed	VBN	print
prominently	RB	prominently
on	IN	on
both	DT	both
.	SENT	.
In	IN	in
the	DT	the
upper	JJ	upper
left	JJ	left
corner	NN	corner
,	,	,
the	DT	the
Johnson	NP	Johnson
Wax	NP	Wax
name	NN	name
and	CC	and
symbol	NN	symbol
are	VBP	be
visible	JJ	visible
over	IN	over
the	DT	the
soft	JJ	soft
green	JJ	green
background	NN	background
.	SENT	.
The	DT	the
scene	NN	scene
changes	NNS	change
to	TO	to
a	DT	a
young	JJ	young
adult	NN	adult
woman	NN	woman
standing	VBG	stand
outside	IN	outside
on	IN	on
a	DT	a
wooden	JJ	wooden
deck	NN	deck
or	CC	or
porch	NN	porch
,	,	,
beside	IN	beside
a	DT	a
railing	NN	railing
.	SENT	.
She	PP	she
has	VBZ	have
light	JJ	light
skin	NN	skin
,	,	,
voluminous	JJ	voluminous
shoulder-length	NN	shoulder-length
blonde	JJ	blonde
hair	NN	hair
with	IN	with
bangs	NNS	bang
,	,	,
and	CC	and
small	JJ	small
earrings	NNS	earring
.	SENT	.
She	PP	she
wears	VBZ	wear
a	DT	a
pale	JJ	pale
cardigan	NN	cardigan
or	CC	or
light	JJ	light
jacket	NN	jacket
with	IN	with
dark	JJ	dark
buttons	NNS	button
over	IN	over
a	DT	a
red	JJ	red
plaid	JJ	plaid
blouse	NN	blouse
,	,	,
with	IN	with
light-colored	JJ	light-colored
trousers	NNS	trouser
and	CC	and
a	DT	a
belt	NN	belt
.	SENT	.
Behind	IN	behind
her	PP	her
is	VBZ	be
a	DT	a
bright	JJ	bright
country	NN	country
landscape	NN	landscape
:	:	:
a	DT	a
grassy	JJ	grassy
field	NN	field
,	,	,
shrubs	NNS	shrub
,	,	,
and	CC	and
trees	NNS	tree
with	IN	with
autumn	NN	autumn
yellow	JJ	yellow
and	CC	and
green	JJ	green
foliage	NN	foliage
.	SENT	.
She	PP	she
faces	VBZ	face
forward	RB	forward
as	RB	as
if	IN	if
speaking	VBG	speak
to	TO	to
the	DT	the
viewer	NN	viewer
,	,	,
