The commercial opens with a soft, abstract green-blue background. White on-screen text reads: “Sweet things that don’t promote cavities.”

The same text remains over a hazy, pastel-colored scene that appears to show people indoors, but the image is very blurred and details are unclear.

The visuals then move into a warm, brightly lit social setting. Several smiling people are shown in close-up, including women in dressy clothing. The scene has strong color flares and a soft-focus look.

A brief overexposed transition leads into what appears to be a formal family or wedding-style group portrait. Adults and children are dressed in formal clothing, including a woman in a long white dress and men/boys in dark suits. They are arranged together indoors, smiling or posing.

The commercial cuts through more soft-focus shots of the gathering. A young girl in a pink dress with pigtails and a young boy in a suit are shown sitting close together. They appear to be interacting playfully. The boy holds a small white stick-like object, likely a piece of gum, and the girl looks at something in her hands.

A close-up shows a hand holding a wrapped product labeled “Orbit.” The package is white with blue lettering and dark blue/teal accents.

More smiling people are shown, including a woman in a large light-colored hat. Then a close-up shows a young child smiling while a wrapped Orbit package is held near the child’s mouth/hand area. The child appears happy, but the exact action is partially obscured by motion blur.

The product is then shown alone against a clean, pale background: a rectangular Orbit package floating or angled diagonally, with the “Orbit” name clearly visible.

The commercial returns briefly to a child in a bright pink outfit and pink hat, shown in a colorful outdoor or public setting. The child looks to the side while standing among other people or objects, though the background is blurred.

Another shot shows a man and a child near the side of a large vehicle, likely a bus or similar transit vehicle, with horizontal stripes and a window visible. The man appears to be assisting or guiding the child near the vehicle entrance.

The final product shot shows the Orbit package again on a pale background. Large black text beneath it reads: “Naturally sweet,” with smaller text below: “Without sugar…or saccharin.” The product remains on screen for several seconds, then the image cuts to black.
