My	PP$	my
mommy	NN	mommy
put	VBD	put
a	DT	a
Cure-Ad	NN	<unknown>
on	IN	on
Cure-Ad	NN	<unknown>
,	,	,
it	PP	it
's	VBZ	be
ouchless	JJ	<unknown>
.	SENT	.
Mommy	NP	Mommy
put	VBD	put
a	DT	a
Cure-Ad	NN	<unknown>
bandage	NN	bandage
on	IN	on
.	SENT	.
It	PP	it
's	VBZ	be
ouchless	JJ	<unknown>
,	,	,
it	PP	it
's	VBZ	be
ouchless	JJ	<unknown>
.	SENT	.
Cure-Ad	NN	<unknown>
is	VBZ	be
ouchless	JJ	<unknown>
.	SENT	.
Mommy	NP	Mommy
put	VBD	put
a	DT	a
Cure-Ad	NN	<unknown>
bandage	NN	bandage
on	IN	on
.	SENT	.
Only	JJ	only
Cure-Ad	NN	<unknown>
has	VBZ	have
Telfa	NP	<unknown>
,	,	,
the	DT	the
pad	NN	pad
that	WDT	that
wo	MD	wo
n't	RB	n't
stick	VB	stick
to	TO	to
a	DT	a
wound	NN	wound
.	SENT	.
It	PP	it
's	VBZ	be
ouchless	JJ	<unknown>
.	SENT	.
The	DT	the
other	JJ	other
bandage	NN	bandage
with	IN	with
a	DT	a
plain	JJ	plain
gauze	NN	gauze
pad	NN	pad
can	MD	can
stick	VB	stick
to	TO	to
a	DT	a
wound	NN	wound
,	,	,
has	VBZ	have
an	DT	an
ouch	NN	ouch
.	SENT	.
So	RB	so
look	VB	look
closely	RB	closely
.	SENT	.
If	IN	if
it	PP	it
does	VBZ	do
n't	RB	n't
say	VB	say
ouchless	JJ	<unknown>
,	,	,
it	PP	it
is	VBZ	be
n't	RB	n't
.	SENT	.
Use	NN	use
Cure-Ad	NN	<unknown>
,	,	,
it	PP	it
's	VBZ	be
ouchless	JJ	<unknown>
.	SENT	.
Cure-Ad	NN	<unknown>
,	,	,
it	PP	it
's	VBZ	be
ouchless	JJ	<unknown>
.	SENT	.
Mommy	NP	Mommy
put	VBD	put
a	DT	a
Cure-Ad	NN	<unknown>
bandage	NN	bandage
on	IN	on
.	SENT	.
Here	RB	here
's	VBZ	be
another	DT	another
fine	JJ	fine
product	NN	product
from	IN	from
Kendall	NP	Kendall
.	SENT	.
