has	VBZ	have
a	DT	a
little	JJ	little
of	IN	of
the	DT	the
magic	NN	magic
gone	VBN	go
out	RP	out
of	IN	of
your	PP$	your
life	NN	life
lately	RB	lately
maybe	RB	maybe
your	PP$	your
gray	JJ	gray
hair	NN	hair
keeps	VBZ	keep
you	PP	you
from	IN	from
looking	VBG	look
as	RB	as
exciting	JJ	exciting
as	IN	as
you	PP	you
still	RB	still
are	VBP	be
hate	NN	hate
that	IN	that
gray	JJ	gray
wash	NN	wash
it	PP	it
away	RB	away
like	VBP	like
magic	JJ	magic
wash	NN	wash
years	NNS	year
away	RB	away
in	IN	in
minutes	NNS	minute
with	IN	with
loving	JJ	loving
care	NN	care
hair	NN	hair
color	NN	color
lotion	NN	lotion
by	IN	by
Clairol	NP	Clairol
the	DT	the
magic	NN	magic
of	IN	of
loving	JJ	loving
care	NN	care
is	VBZ	be
that	IN	that
it	PP	it
colors	VBZ	color
only	RB	only
the	DT	the
gray	JJ	gray
without	IN	without
changing	VBG	change
your	PP$	your
natural	JJ	natural
hair	NN	hair
color	NN	color
it	PP	it
's	VBZ	be
gentle	JJ	gentle
magic	NN	magic
no	DT	no
peroxide	NN	peroxide
or	CC	or
developer	NN	developer
even	RB	even
the	DT	the
fragrance	NN	fragrance
tells	VBZ	tell
you	PP	you
nothing	NN	nothing
to	TO	to
mix	NN	mix
just	RB	just
pours	VBZ	pour
on	IN	on
right	NN	right
from	IN	from
the	DT	the
bottle	NN	bottle
actually	RB	actually
leaves	VBZ	leave
your	PP$	your
hair	NN	hair
in	IN	in
better	JJR	good
condition	NN	condition
than	IN	than
ever	RB	ever
and	CC	and
gray	JJ	gray
is	VBZ	be
gone	VBN	go
loving	JJ	loving
care	NN	care
lasts	VBZ	last
a	DT	a
month	NN	month
or	CC	or
more	RBR	more
makes	VBZ	make
it	PP	it
so	RB	so
easy	JJ	easy
to	TO	to
keep	VB	keep
gray	JJ	gray
away	RB	away
so	RB	so
if	IN	if
you	PP	you
hate	VBP	hate
that	DT	that
gray	JJ	gray
get	VB	get
a	DT	a
little	JJ	little
of	IN	of
this	DT	this
magic	NN	magic
for	IN	for
yourself	PP	yourself
you	PP	you
'll	MD	will
look	VB	look
so	RB	so
fresh	JJ	fresh
feel	VBP	feel
so	RB	so
beautiful	JJ	beautiful
it	PP	it
makes	VBZ	make
your	PP$	your
husband	NN	husband
feel	VBP	feel
younger	JJR	young
too	RB	too
just	RB	just
to	TO	to
look	VB	look
at	IN	at
you	PP	you
and	CC	and
that	DT	that
's	VBZ	be
the	DT	the
best	JJS	good
magic	NN	magic
of	IN	of
all	DT	all
try	VBP	try
it	PP	it
loving	JJ	loving
care	NN	care
hair	NN	hair
color	NN	color
lotion	NN	lotion
by	IN	by
Clairol	NP	Clairol
the	DT	the
magic	NN	magic
of	IN	of
loving	JJ	loving
care	NN	care
hair	NN	hair
color	NN	color
lotion	NN	lotion
by	IN	by
Clairol	NP	Clairol
the	DT	the
magic	NN	magic
of	IN	of
loving	JJ	loving
care	NN	care
hair	NN	hair
color	NN	color
lotion	NN	lotion
by	IN	by
Clairol	NP	Clairol
