Introducing	VBG	introduce
the	DT	the
Sloppy	JJ	sloppy
Joe	NP	Joe
,	,	,
a	DT	a
brand	NN	brand
new	JJ	new
dance	NN	dance
.	SENT	.
From	IN	from
Libby	NP	Libby
's	POS	's
,	,	,
the	DT	the
people	NNS	people
who	WP	who
make	VBP	make
Sloppy	JJ	sloppy
Joes	NPS	Joe
.	SENT	.
Just	RB	just
heat	NN	heat
and	CC	and
eat	VBP	eat
and	CC	and
swing	VBP	swing
to	TO	to
the	DT	the
beat	NN	beat
.	SENT	.
Nothing	NN	nothing
like	IN	like
it	PP	it
anywhere	RB	anywhere
.	SENT	.
Get	VB	get
beef	NN	beef
or	CC	or
pork	NN	pork
.	SENT	.
What	WP	what
do	VBP	do
kids	NNS	kid
think	VBP	think
of	IN	of
it	PP	it
?	SENT	?
Man	UH	man
,	,	,
it	PP	it
's	VBZ	be
the	DT	the
sloppiest	JJS	sloppy
.	SENT	.
