Why	WRB	why
that	DT	that
little	JJ	little
lowlife	NN	<unknown>
,	,	,
back	RB	back
again	RB	again
.	SENT	.
Say	VB	say
,	,	,
let	VB	let
's	VBZ	be
see	VB	see
what	WP	what
the	DT	the
rebel	NN	rebel
can	MD	can
do	VB	do
.	SENT	.
Okay	RB	okay
,	,	,
you	PP	you
ramble	VBP	ramble
rebel	NN	rebel
,	,	,
let	VBN	let
's	POS	's
ramble	NN	ramble
.	SENT	.
Plenty	NN	plenty
of	IN	of
power	NN	power
.	SENT	.
Ordering	VBG	order
that	IN	that
big	JJ	big
VA	NP	VA
was	VBD	be
a	DT	a
smart	JJ	smart
move	NN	move
.	SENT	.
So	RB	so
was	VBD	be
this	DT	this
transmission	NN	transmission
.	SENT	.
Shift	NN	shift
for	IN	for
me	PP	me
,	,	,
automatic	JJ	automatic
for	IN	for
Marge	NP	Marge
.	SENT	.
They	PP	they
call	VBP	call
it	PP	it
shift	VB	shift
command	NN	command
.	SENT	.
Good	JJ	good
name	NN	name
.	SENT	.
Good	JJ	good
idea	NN	idea
.	SENT	.
Like	IN	like
the	DT	the
power	NN	power
disc	NN	disc
brakes	NNS	brake
I	PP	I
got	VBD	get
.	SENT	.
Really	RB	really
safe	JJ	safe
.	SENT	.
Good	JJ	good
job	NN	job
,	,	,
rebel	NN	rebel
.	SENT	.
We	PP	we
're	VBP	be
here	RB	here
.	SENT	.
Okay	RB	okay
,	,	,
you	PP	you
animated	VBD	animate
teddy	NN	teddy
bear	NN	bear
.	SENT	.
Go	VB	go
on	IN	on
,	,	,
get	VB	get
.	SENT	.
Rebel	NN	rebel
,	,	,
built	VBN	build
with	IN	with
you	PP	you
and	CC	and
your	PP$	your
safety	NN	safety
in	IN	in
mind	NN	mind
.	SENT	.
Every	DT	every
minute	NN	minute
of	IN	of
every	DT	every
working	VBG	work
day	NN	day
,	,	,
two	CD	two
more	JJR	more
families	NNS	family
make	VBP	make
their	PP$	their
choice	NN	choice
a	DT	a
new	JJ	new
American	JJ	American
motor	NN	motor
.	SENT	.
Because	IN	because
quality	NN	quality
is	VBZ	be
built	VBN	build
in	IN	in
,	,	,
not	RB	not
added	VBD	add
on	RP	on
.	SENT	.
