What	WP	what
happens	VBZ	happen
when	WRB	when
you	PP	you
breathe	VBP	breathe
on	IN	on
a	DT	a
mirror	NN	mirror
?	SENT	?
You	PP	you
can	MD	can
actually	RB	actually
see	VB	see
your	PP$	your
breath	NN	breath
,	,	,
but	CC	but
you	PP	you
cannot	MD	can
see	VB	see
whether	IN	whether
it	PP	it
's	VBZ	be
fresh	JJ	fresh
and	CC	and
clean	JJ	clean
and	CC	and
pleasing	VBG	please
to	TO	to
other	JJ	other
people	NNS	people
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
to	TO	to
feel	VB	feel
safe	JJ	safe
,	,	,
use	NN	use
Micron	NN	micron
.	SENT	.
Micron	NN	micron
oral	JJ	oral
antiseptic	NN	antiseptic
,	,	,
the	DT	the
most	RBS	most
effective	JJ	effective
mouthwash	NN	mouthwash
you	PP	you
can	MD	can
buy	VB	buy
to	TO	to
stop	VB	stop
bad	JJ	bad
breath	NN	breath
germs	NNS	germ
.	SENT	.
Let	VB	let
's	VBZ	be
say	VB	say
these	DT	these
G	NP	G
's	POS	's
are	VBP	be
the	DT	the
germs	NNS	germ
breeding	VBG	breed
in	IN	in
your	PP$	your
mouth	NN	mouth
and	CC	and
throat	NN	throat
.	SENT	.
Other	JJ	other
mouthwashes	NNS	mouthwash
reduce	VB	reduce
the	DT	the
number	NN	number
of	IN	of
germs	NNS	germ
,	,	,
but	CC	but
moments	NNS	moment
later	RBR	later
new	JJ	new
ones	NNS	one
start	VBP	start
growing	VBG	grow
back	RB	back
to	TO	to
threaten	VB	threaten
your	PP$	your
breath	NN	breath
.	SENT	.
Micron	NN	micron
is	VBZ	be
different	JJ	different
.	SENT	.
It	PP	it
not	RB	not
only	RB	only
kills	VBZ	kill
germs	NNS	germ
on	IN	on
contact	NN	contact
,	,	,
but	CC	but
it	PP	it
keeps	VBZ	keep
the	DT	the
number	NN	number
of	IN	of
germs	NNS	germ
much	RB	much
lower	JJR	low
,	,	,
much	RB	much
longer	RBR	longer
.	SENT	.
It	PP	it
's	VBZ	have
been	VBN	be
proved	VBN	prove
more	RBR	more
effective	JJ	effective
hours	NNS	hour
longer	RBR	longer
than	IN	than
any	DT	any
other	JJ	other
mouthwash	NN	mouthwash
,	,	,
so	RB	so
you	PP	you
can	MD	can
feel	VB	feel
safer	JJR	safe
hours	NNS	hour
longer	RBR	longer
with	IN	with
Johnson	NP	Johnson
&	CC	&
Johnson	NP	Johnson
's	POS	's
new	JJ	new
Blue	JJ	blue
Micron	NN	micron
,	,	,
most	RBS	most
effective	JJ	effective
mouthwash	NN	mouthwash
you	PP	you
can	MD	can
buy	VB	buy
to	TO	to
stop	VB	stop
bad	JJ	bad
breath	NN	breath
germs	NNS	germ
.	SENT	.
For	IN	for
more	JJR	more
information	NN	information
,	,	,
visit	NN	visit
Johnson	NP	Johnson
&	CC	&
Johnson.com	NP	<unknown>
.	SENT	.
