ah	UH	ah
romance	NN	romance
somebody	NN	somebody
's	VBZ	be
trying	VBG	try
to	TO	to
sell	VB	sell
you	PP	you
a	DT	a
carpet	NN	carpet
would	MD	would
n't	RB	n't
it	PP	it
be	VB	be
nice	JJ	nice
to	TO	to
buy	VB	buy
a	DT	a
carpet	NN	carpet
like	IN	like
this	DT	this
just	RB	just
on	IN	on
glamour	NN	glamour
alone	RB	alone
nice	JJ	nice
but	CC	but
that	DT	that
's	VBZ	be
why	WRB	why
Lee	NP	Lee
's	POS	's
believes	VBZ	believe
in	IN	in
glamour	NN	glamour
plus	CC	plus
a	DT	a
back	NN	back
that	WDT	that
can	MD	can
take	VB	take
a	DT	a
beating	NN	beating
glamour	NN	glamour
plus	CC	plus
good	JJ	good
strong	JJ	strong
fibers	NNS	fiber
and	CC	and
no	RB	no
skimping	VBG	skimp
a	DT	a
pile	NN	pile
that	WDT	that
wo	MD	wo
n't	RB	n't
fall	VB	fall
flat	JJ	flat
on	IN	on
its	PP$	its
face	NN	face
Lee	NP	Lee
's	POS	's
gives	VBZ	give
you	PP	you
the	DT	the
glamour	NN	glamour
you	PP	you
want	VBP	want
all	DT	all
right	NN	right
but	CC	but
we	PP	we
give	VBP	give
you	PP	you
a	DT	a
lot	NN	lot
more	RBR	more
behind	IN	behind
it	PP	it
a	DT	a
lot	NN	lot
of	IN	of
good	JJ	good
down-to-earth	JJ	down-to-earth
reasons	NNS	reason
for	IN	for
buying	VBG	buy
those	DT	those
heavenly	JJ	heavenly
carpets	NNS	carpet
by	IN	by
Lee	NP	Lee
's	POS	's
