Why	WRB	why
do	VBP	do
so	RB	so
many	JJ	many
single	JJ	single
men	NNS	man
use	VBP	use
Old	NP	Old
Spice	NP	Spice
aftershave	NN	aftershave
lotion	NN	lotion
?	SENT	?
Let	VB	let
's	VBZ	be
ask	VB	ask
one	PP	one
.	SENT	.
Dave	NP	Dave
,	,	,
what	WP	what
are	VBP	be
your	PP$	your
reasons	NNS	reason
?	SENT	?
Well	RB	well
,	,	,
let	VB	let
's	VBZ	be
see	VB	see
.	SENT	.
There	EX	there
's	VBZ	be
Julie	NP	Julie
,	,	,
and	CC	and
Karen	NP	Karen
,	,	,
and	CC	and
Peggy	NP	Peggy
,	,	,
and	CC	and
Joelle	NP	Joelle
,	,	,
and	CC	and
Sandy	NP	Sandy
,	,	,
and	CC	and
Beth	NP	Beth
,	,	,
and	CC	and
Bridget	NP	Bridget
.	SENT	.
Yes	UH	yes
,	,	,
Dave	NP	Dave
,	,	,
thanks	NNS	thanks
.	SENT	.
That	DT	that
's	VBZ	be
the	DT	the
way	NN	way
it	PP	it
is	VBZ	be
with	IN	with
Old	NP	Old
Spice	NP	Spice
.	SENT	.
If	IN	if
you	PP	you
're	VBP	be
single	JJ	single
,	,	,
or	CC	or
even	RB	even
if	IN	if
you	PP	you
're	VBP	be
not	RB	not
,	,	,
try	VBP	try
Old	NP	Old
Spice	NP	Spice
aftershave	NN	aftershave
lotion	NN	lotion
.	SENT	.
