Come	VBN	come
on	IN	on
shorty	NN	shorty
,	,	,
your	PP$	your
hair	NN	hair
like	IN	like
chewing	VBG	chew
gum	NN	gum
.	SENT	.
Big	JJ	big
ox	NN	ox
!	SENT	!
Darling	NN	darling
,	,	,
wonder	VBP	wonder
the	DT	the
witch	NN	witch
.	SENT	.
Your	PP$	your
bargain	NN	bargain
spray	NN	spray
's	VBZ	be
the	DT	the
problem	NN	problem
.	SENT	.
Watch	VB	watch
this	DT	this
cotton	NN	cotton
test	NN	test
.	SENT	.
It	PP	it
sticks	VBZ	stick
.	SENT	.
Away	RB	away
with	IN	with
that	DT	that
problem	NN	problem
.	SENT	.
Try	VB	try
Hidden	NP	Hidden
Magic	NP	Magic
,	,	,
the	DT	the
perfect	JJ	perfect
solution	NN	solution
.	SENT	.
Holds	VBZ	hold
without	IN	without
being	VBG	be
sticky	JJ	sticky
.	SENT	.
See	VB	see
?	SENT	?
Hardly	RB	hardly
any	DT	any
sticks	NNS	stick
.	SENT	.
How	WRB	how
'd	MD	will
you	PP	you
get	VB	get
rid	JJ	rid
of	IN	of
the	DT	the
chewing	VBG	chew
gum	NN	gum
?	SENT	?
A	DT	a
little	JJ	little
witchery	NN	witchery
.	SENT	.
New	NP	New
Hidden	NP	Hidden
Magic	NP	Magic
,	,	,
the	DT	the
problem	NN	problem
solving	VBG	solve
hairspray	NN	hairspray
.	SENT	.
