Hey	UH	hey
,	,	,
it	PP	it
's	VBZ	be
your	PP$	your
choice	NN	choice
.	SENT	.
For	IN	for
96	CD	@card@
cents	NNS	cent
,	,	,
you	PP	you
can	MD	can
have	VB	have
juicy	JJ	juicy
meatballs	NNS	meatball
on	IN	on
fresh-baked	JJ	fresh-baked
bread	NN	bread
with	IN	with
marinara	NN	marinara
sauce	NN	sauce
and	CC	and
loads	NNS	load
of	IN	of
fresh-cut	NN	fresh-cut
fixins	NNS	<unknown>
in	IN	in
a	DT	a
sandwich	NN	sandwich
made	VBD	make
right	RB	right
before	IN	before
your	PP$	your
eyes	NNS	eye
or	CC	or
a	DT	a
pre-made	JJ	<unknown>
burger	NN	burger
.	SENT	.
Good	JJ	good
decision	NN	decision
.	SENT	.
Subway	NN	subway
's	POS	's
Meatball	NN	meatball
Sub	NP	Sub
is	VBZ	be
just	RB	just
96	CD	@card@
cents	NNS	cent
for	IN	for
a	DT	a
limited	JJ	limited
time	NN	time
.	SENT	.
