What	WP	what
's	VBZ	be
the	DT	the
most	RBS	most
important	JJ	important
thing	NN	thing
you	PP	you
put	VBD	put
on	RP	on
?	SENT	?
Is	VBZ	be
it	PP	it
red	JJ	red
?	SENT	?
No.	NN	No.
Is	VBZ	be
it	PP	it
green	JJ	green
?	SENT	?
I	PP	I
'll	MD	will
bet	VB	bet
it	PP	it
's	VBZ	be
green	JJ	green
.	SENT	.
Uh-uh	NP	<unknown>
.	SENT	.
It	PP	it
's	VBZ	be
clear	JJ	clear
.	SENT	.
Introducing	VBG	introduce
Soft	JJ	soft
and	CC	and
Dry	NP	Dry
Clear	NP	Clear
Gel	NN	gel
Antiperspirant	NN	antiperspirant
.	SENT	.
Odor	NN	odor
and	CC	and
wetness	NN	wetness
protection	NN	protection
with	IN	with
no	DT	no
white	NN	white
,	,	,
no	DT	no
messy	JJ	messy
,	,	,
no	DT	no
chalky	JJ	chalky
residue	NN	residue
.	SENT	.
Clear	JJ	clear
enough	NN	enough
?	SENT	?
Hey	UH	hey
,	,	,
wait	VB	wait
a	DT	a
minute	NN	minute
.	SENT	.
So	RB	so
the	DT	the
most	RBS	most
important	JJ	important
thing	NN	thing
you	PP	you
put	VBD	put
on	RP	on
...	:	...
Leaves	VBZ	leave
no	DT	no
messy	JJ	messy
white	JJ	white
stuff	NN	stuff
behind	RB	behind
.	SENT	.
New	JJ	new
Soft	JJ	soft
and	CC	and
Dry	NP	Dry
Clear	NP	Clear
Gel	NN	gel
.	SENT	.
