There	EX	there
's	VBZ	be
a	DT	a
new	JJ	new
automotive	JJ	automotive
standard	NN	standard
emerging	VBG	emerge
in	IN	in
this	DT	this
country	NN	country
with	IN	with
a	DT	a
reputation	NN	reputation
for	IN	for
quality	NN	quality
second	JJ	second
to	TO	to
none	NN	none
and	CC	and
a	DT	a
desire	NN	desire
to	TO	to
make	VB	make
it	PP	it
even	RB	even
better	RBR	well
.	SENT	.
Introducing	VBG	introduce
the	DT	the
men	NNS	man
and	CC	and
women	NNS	woman
of	IN	of
Toyota	NP	Toyota
Motor	NP	Motor
Manufacturing	NP	Manufacturing
in	IN	in
Georgetown	NP	Georgetown
,	,	,
Kentucky	NP	Kentucky
.	SENT	.
They	PP	they
just	RB	just
could	MD	could
n't	RB	n't
leave	VB	leave
well	RB	well
enough	RB	enough
alone	RB	alone
.	SENT	.
.	SENT	.
