What	WP	what
's	VBZ	be
wrong	JJ	wrong
,	,	,
honey	NN	honey
?	SENT	?
Stuffy	JJ	stuffy
nose	NN	nose
.	SENT	.
Clogged	JJ	clogged
sinuses	NNS	sinus
.	SENT	.
Pressure	NN	pressure
.	SENT	.
I	PP	I
'll	MD	will
take	VB	take
some	DT	some
medicine	NN	medicine
.	SENT	.
Feeling	VBG	feel
better	RBR	well
now	RB	now
?	SENT	?
Not	RB	not
totally	RB	totally
.	SENT	.
Now	RB	now
I	PP	I
've	VBP	have
got	VBN	get
that	DT	that
groggy	JJ	groggy
,	,	,
disconnected	JJ	disconnected
feeling	NN	feeling
.	SENT	.
Oh	UH	oh
,	,	,
medicine	NN	medicine
head	NN	head
.	SENT	.
You	PP	you
should	MD	should
have	VB	have
taken	VBN	take
Sudafed	NP	Sudafed
.	SENT	.
Sudafed	NP	Sudafed
opens	VBZ	open
nasal	JJ	nasal
passages	NNS	passage
and	CC	and
relieves	VBZ	relieve
sinus	NN	sinus
pressure	NN	pressure
.	SENT	.
And	CC	and
non-drowsy	NP	<unknown>
Sudafed	NP	Sudafed
leaves	VBZ	leave
you	PP	you
with	IN	with
a	DT	a
clear	JJ	clear
head	NN	head
.	SENT	.
Not	RB	not
medicine	NN	medicine
head	NN	head
.	SENT	.
Look	VB	look
,	,	,
I	PP	I
'm	VBP	be
all	RB	all
clear	JJ	clear
.	SENT	.
Shows	NNS	show
checking	NN	checking
,	,	,
dear	RB	dear
.	SENT	.
Sudafed	NP	Sudafed
.	SENT	.
The	DT	the
difference	NN	difference
between	IN	between
a	DT	a
clear	JJ	clear
head	NN	head
and	CC	and
medicine	NN	medicine
head	NN	head
.	SENT	.
