Hey	UH	hey
,	,	,
that	WDT	that
's	VBZ	be
three	CD	three
.	SENT	.
My	PP$	my
son	NN	son
swore	VBD	swear
he	PP	he
would	MD	would
n't	RB	n't
wash	VB	wash
his	PP$	his
lucky	JJ	lucky
shirt	NN	shirt
until	IN	until
his	PP$	his
winning	JJ	winning
streak	NN	streak
was	VBD	be
over	RP	over
.	SENT	.
What	WP	what
's	VBZ	be
up	RB	up
,	,	,
Blackman	NP	Blackman
?	SENT	?
That	DT	that
shirt	NN	shirt
looked	VBD	look
and	CC	and
smelled	VBD	smell
so	RB	so
bad	JJ	bad
.	SENT	.
My	PP$	my
husband	NN	husband
suggested	VBD	suggest
that	IN	that
new	JJ	new
bleach	NN	bleach
detergent	NN	detergent
for	IN	for
odors	NNS	odor
.	SENT	.
But	CC	but
odor	NN	odor
's	VBZ	be
no	DT	no
problem	NN	problem
.	SENT	.
It	PP	it
's	VBZ	be
whiteness	NN	whiteness
.	SENT	.
And	CC	and
no	DT	no
detergent	NN	detergent
whitens	VBZ	whiten
better	JJR	good
than	IN	than
my	PP$	my
Tidewood	NP	<unknown>
bleach	NN	bleach
.	SENT	.
While	IN	while
the	DT	the
new	JJ	new
bleach	NN	bleach
detergent	NN	detergent
left	VBD	leave
stains	NNS	stain
behind	RB	behind
,	,	,
Tidewood	NP	<unknown>
bleach	NN	bleach
made	VBD	make
it	PP	it
whiter	JJR	white
.	SENT	.
After	IN	after
all	DT	all
,	,	,
how	WRB	how
many	JJ	many
lucky	JJ	lucky
shirts	NNS	shirt
does	VBZ	do
a	DT	a
kid	NN	kid
have	VBP	have
?	SENT	?
If	IN	if
it	PP	it
's	VBZ	be
got	VBN	get
to	TO	to
be	VB	be
clean	JJ	clean
,	,	,
it	PP	it
's	VBZ	be
got	VBN	get
to	TO	to
be	VB	be
clean	JJ	clean
.	SENT	.
