Introducing	VBG	introduce
Pitfall	NN	pitfall
,	,	,
the	DT	the
jungle	NN	jungle
adventure	NN	adventure
video	NN	video
game	NN	game
.	SENT	.
Just	RB	just
a	DT	a
reminder	NN	reminder
,	,	,
not	RB	not
everyone	NN	everyone
wins	NNS	win
.	SENT	.
Pitfall	NN	pitfall
,	,	,
the	DT	the
mind	NN	mind
adventure	NN	adventure
for	IN	for
Sega	NP	Sega
Genesis	NP	Genesis
and	CC	and
Super	NP	Super
Nintendo	NP	Nintendo
Entertainment	NP	Entertainment
Systems	NPS	Systems
from	IN	from
Activision	NP	Activision
.	SENT	.
