Congratulations	NNS	congratulation
!	SENT	!
What	WP	what
do	VBP	do
you	PP	you
say	VBP	say
?	SENT	?
ChapStick	NN	chapstick
Medicated	VBD	medicate
,	,	,
please	UH	please
.	SENT	.
Introducing	VBG	introduce
ChapStick	NN	chapstick
Medicated	VBD	medicate
,	,	,
triple	RB	triple
medicated	VBN	medicate
.	SENT	.
You	PP	you
can	MD	can
feel	VB	feel
it	PP	it
working	VBG	work
immediately	RB	immediately
.	SENT	.
New	JJ	new
ChapStick	NN	chapstick
Medicated	VBD	medicate
,	,	,
triple	RB	triple
medicated	VBN	medicate
relief	NN	relief
.	SENT	.
