Have	VBP	have
you	PP	you
experienced	VBD	experience
the	DT	the
awesome	JJ	awesome
power	NN	power
of	IN	of
the	DT	the
Panasonic	NP	Panasonic
Reel	NP	Reel
3DO	NP	3DO
system	NN	system
?	SENT	?
Obviously	RB	obviously
.	SENT	.
The	DT	the
intense	JJ	intense
realism	NN	realism
of	IN	of
Panasonic	NP	Panasonic
Reel	NP	Reel
3DO	NP	3DO
.	SENT	.
Apparently	RB	apparently
.	SENT	.
Or	CC	or
the	DT	the
mind-blowing	JJ	mind-blowing
graphics	NNS	graphics
of	IN	of
Panasonic	NP	Panasonic
Reel	NP	Reel
3DO	NP	3DO
.	SENT	.
Definitely	RB	definitely
.	SENT	.
The	DT	the
Reel	NP	Reel
3DO	JJ	<unknown>
system	NN	system
from	IN	from
Panasonic	NP	Panasonic
.	SENT	.
Thank	VB	thank
you	PP	you
for	IN	for
watching	VBG	watch
.	SENT	.
