Say	VB	say
goodbye	NN	goodbye
to	TO	to
waxy	JJ	waxy
,	,	,
greasy	JJ	greasy
lips	NNS	lip
.	SENT	.
Introducing	VBG	introduce
SoftLips	NNS	<unknown>
.	SENT	.
Natural-looking	JJ	<unknown>
lip	JJ	lip
protection	NN	protection
.	SENT	.
Soft	JJ	soft
and	CC	and
healthy	JJ	healthy
.	SENT	.
SoftLips	NP	<unknown>
glides	VBZ	glide
on	IN	on
easily	RB	easily
,	,	,
smoothly	RB	smoothly
.	SENT	.
It	PP	it
's	VBZ	be
about	RB	about
time	NN	time
.	SENT	.
New	NP	New
SoftLips	NP	<unknown>
.	SENT	.
Lip	JJ	lip
protection	NN	protection
for	IN	for
soft	JJ	soft
,	,	,
healthy	JJ	healthy
lips	NNS	lip
.	SENT	.
