There	EX	there
are	VBP	be
many	JJ	many
prescription	NN	prescription
pain	NN	pain
medicines	NNS	medicine
and	CC	and
a	DT	a
doctor	NN	doctor
can	MD	can
prescribe	VB	prescribe
any	DT	any
of	IN	of
them	PP	them
.	SENT	.
Yet	RB	yet
82	CD	@card@
%	NN	%
of	IN	of
doctors	NNS	doctor
surveyed	VBN	survey
have	VBP	have
prescribed	VBN	prescribe
Arutus	NP	<unknown>
and	CC	and
now	RB	now
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
it	PP	it
's	VBZ	be
available	JJ	available
in	IN	in
a	DT	a
non-prescription	JJ	non-prescription
strain	NN	strain
.	SENT	.
New	NP	New
Arutus	NP	<unknown>
KT	NP	KT
.	SENT	.
It	PP	it
's	VBZ	be
so	RB	so
potent	JJ	potent
just	RB	just
25	CD	@card@
milligrams	NNS	milligram
is	VBZ	be
as	RB	as
effective	JJ	effective
as	IN	as
400	CD	@card@
milligrams	NNS	milligram
of	IN	of
Motrin	NP	Motrin
IV	NP	IV
,	,	,
440	CD	@card@
of	IN	of
Aleve	NP	<unknown>
or	CC	or
1,000	CD	@card@
milligrams	NNS	milligram
of	IN	of
extra	JJ	extra
strength	NN	strength
Tylenol	NP	Tylenol
.	SENT	.
New	NP	New
Arutus	NP	<unknown>
KT	NP	KT
,	,	,
the	DT	the
potent	JJ	potent
medicine	NN	medicine
for	IN	for
pain	NN	pain
.	SENT	.
