Against	IN	against
a	DT	a
plain	JJ	plain
,	,	,
light	JJ	light
background	NN	background
,	,	,
a	DT	a
simple	JJ	simple
black-line	NN	black-line
cartoon	NN	cartoon
character	NN	character
appears	VBZ	appear
:	:	:
a	DT	a
plump	JJ	plump
hen	NN	hen
with	IN	with
an	DT	an
egg-shaped	JJ	egg-shaped
head	NN	head
,	,	,
a	DT	a
little	JJ	little
neck	NN	neck
scarf	NN	scarf
,	,	,
rounded	JJ	rounded
body	NN	body
feathers	NNS	feather
,	,	,
thin	JJ	thin
legs	NNS	leg
,	,	,
and	CC	and
a	DT	a
cheerful	JJ	cheerful
face	NN	face
.	SENT	.
She	PP	she
holds	VBZ	hold
up	RP	up
a	DT	a
white	JJ	white
egg	NN	egg
in	IN	in
one	CD	one
wing	NN	wing
,	,	,
then	RB	then
bounces	NNS	bounce
and	CC	and
gestures	NNS	gesture
around	IN	around
it	PP	it
as	RB	as
if	IN	if
presenting	VBG	present
it	PP	it
.	SENT	.
Large	JJ	large
black	JJ	black
lettering	NN	lettering
begins	VBZ	begin
to	TO	to
appear	VB	appear
beside	IN	beside
her	PP	her
,	,	,
first	JJ	first
“	``	"
the	DT	the
,	,	,
”	''	"
then	RB	then
the	DT	the
bold	JJ	bold
,	,	,
slanted	VBN	slant
words	NNS	word
“	``	"
WHOLE-EGG	NP	<unknown>
.	SENT	.
”	''	"
The	DT	the
hen	NN	hen
moves	VBZ	move
playfully	RB	playfully
over	IN	over
and	CC	and
around	IN	around
the	DT	the
words	NNS	word
,	,	,
the	DT	the
white	JJ	white
egg	NN	egg
shape	NN	shape
darting	VBG	dart
across	IN	across
the	DT	the
letters	NNS	letter
as	IN	as
a	DT	a
bright	JJ	bright
spot	NN	spot
.	SENT	.
The	DT	the
phrase	NN	phrase
“	``	"
the	DT	the
WHOLE-EGG	NP	<unknown>
”	''	"
stretches	VBZ	stretch
diagonally	RB	diagonally
across	IN	across
the	DT	the
screen	NN	screen
while	IN	while
the	DT	the
hen	NN	hen
poses	VBZ	pose
on	IN	on
top	JJ	top
of	IN	of
it	PP	it
,	,	,
peeks	VBZ	peek
over	IN	over
it	PP	it
,	,	,
and	CC	and
walks	VBZ	walk
along	IN	along
it	PP	it
,	,	,
reinforcing	VBG	reinforce
the	DT	the
“	``	"
whole	JJ	whole
egg	NN	egg
”	''	"
idea	NN	idea
visually	RB	visually
.	SENT	.
The	DT	the
animated	JJ	animated
scene	NN	scene
gives	VBZ	give
way	NN	way
to	TO	to
a	DT	a
dark	JJ	dark
rectangular	JJ	rectangular
sign	NN	sign
with	IN	with
large	JJ	large
white	JJ	white
lettering	NN	lettering
:	:	:
“	``	"
Best	JJS	good
Foods	NPS	Foods
”	''	"
at	IN	at
the	DT	the
top	NN	top
,	,	,
“	``	"
REAL	JJ	real
”	''	"
in	IN	in
the	DT	the
middle	NN	middle
,	,	,
and	CC	and
“	``	"
Mayonnaise	NN	mayonnaise
”	''	"
below	IN	below
.	SENT	.
A	DT	a
white	JJ	white
egg	NN	egg
shape	NN	shape
lands	NNS	land
near	IN	near
the	DT	the
center	NN	center
of	IN	of
the	DT	the
words	NNS	word
.	SENT	.
Simple	JJ	simple
line-drawn	NN	<unknown>
hands	NNS	hand
appear	VBP	appear
around	IN	around
it	PP	it
,	,	,
cupping	VBG	cup
it	PP	it
between	IN	between
them	PP	them
.	SENT	.
The	DT	the
egg	NN	egg
cracks	NNS	crack
open	JJ	open
into	IN	into
two	CD	two
shell	JJ	shell
halves	NNS	half
,	,	,
centered	VBN	center
between	IN	between
the	DT	the
words	NNS	word
“	``	"
Best	JJS	good
Foods	NPS	Foods
”	''	"
and	CC	and
“	``	"
Mayonnaise	NN	mayonnaise
.	SENT	.
”	''	"
The	DT	the
cartoon	NN	cartoon
hen	NN	hen
steps	NNS	step
in	IN	in
from	IN	from
the	DT	the
left	NN	left
and	CC	and
stands	VBZ	stand
beside	IN	beside
the	DT	the
sign	NN	sign
,	,	,
smiling	VBG	smile
and	CC	and
looking	VBG	look
toward	IN	toward
the	DT	the
cracked	JJ	cracked
egg	NN	egg
and	CC	and
the	DT	the
product	NN	product
name	NN	name
.	SENT	.
A	DT	a
jar	NN	jar
of	IN	of
Best	JJS	good
Foods	NP	Foods
Real	JJ	real
Mayonnaise	NN	mayonnaise
then	RB	then
slides	VBZ	slide
into	IN	into
view	NN	view
beside	IN	beside
the	DT	the
cartoon	NN	cartoon
hen	NN	hen
.	SENT	.
The	DT	the
jar	NN	jar
is	VBZ	be
white	JJ	white
,	,	,
rounded	JJ	rounded
,	,	,
and	CC	and
capped	VBD	cap
with	IN	with
a	DT	a
striped	JJ	striped
lid	NN	lid
.	SENT	.
Its	PP$	its
dark	JJ	dark
front	NN	front
label	NN	label
reads	VBZ	read
“	``	"
Best	JJS	good
Foods	NPS	Foods
”	''	"
in	IN	in
large	JJ	large
white	JJ	white
letters	NNS	letter
,	,	,
with	IN	with
“	``	"
REAL	JJ	real
”	''	"
on	IN	on
a	DT	a
ribbon	NN	ribbon
shape	NN	shape
and	CC	and
“	``	"
Mayonnaise	NN	mayonnaise
”	''	"
below	IN	below
in	IN	in
an	DT	an
oval	NN	oval
.	SENT	.
Near	IN	near
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
label	NN	label
,	,	,
smaller	JJR	small
text	NN	text
reads	VBZ	read
“	``	"
The	DT	the
Best	JJS	good
Foods	NP	Foods
Inc.	NP	Inc.
”	''	"
The	DT	the
hen	NN	hen
stands	VBZ	stand
to	TO	to
the	DT	the
left	NN	left
with	IN	with
one	CD	one
wing	NN	wing
extended	VBN	extend
toward	IN	toward
the	DT	the
jar	NN	jar
,	,	,
as	RB	as
if	IN	if
proudly	RB	proudly
introducing	VBG	introduce
it	PP	it
.	SENT	.
The	DT	the
jar	NN	jar
tilts	VBZ	tilt
slightly	RB	slightly
and	CC	and
grows	VBZ	grow
larger	JJR	large
in	IN	in
the	DT	the
composition	NN	composition
,	,	,
keeping	VBG	keep
the	DT	the
label	NN	label
clearly	RB	clearly
visible	JJ	visible
while	IN	while
the	DT	the
hen	NN	hen
remains	VBZ	remain
as	IN	as
a	DT	a
line	NN	line
drawing	NN	drawing
at	IN	at
its	PP$	its
side	NN	side
.	SENT	.
The	DT	the
scene	NN	scene
changes	NNS	change
to	TO	to
a	DT	a
real	JJ	real
tabletop	NN	tabletop
set	VBN	set
in	IN	in
black	JJ	black
and	CC	and
white	JJ	white
.	SENT	.
Two	CD	two
decorative	JJ	decorative
salad	NN	salad
plates	NNS	plate
sit	VBP	sit
near	IN	near
the	DT	the
front	NN	front
,	,	,
one	CD	one
on	IN	on
the	DT	the
left	NN	left
and	CC	and
one	CD	one
on	IN	on
the	DT	the
right	NN	right
.	SENT	.
Each	DT	each
plate	NN	plate
holds	VBZ	hold
a	DT	a
composed	VBN	compose
salad	NN	salad
arranged	VBN	arrange
on	IN	on
a	DT	a
leafy	JJ	leafy
base	NN	base
,	,	,
with	IN	with
several	JJ	several
rounded	JJ	rounded
pieces	NNS	piece
and	CC	and
pale	JJ	pale
curved	VBN	curve
pieces	NNS	piece
topped	VBN	top
with	IN	with
small	JJ	small
garnishes	NNS	garnish
.	SENT	.
A	DT	a
long	JJ	long
spoon	NN	spoon
lies	VBZ	lie
horizontally	RB	horizontally
near	IN	near
the	DT	the
back	NN	back
of	IN	of
the	DT	the
table	NN	table
,	,	,
and	CC	and
a	DT	a
small	JJ	small
bowl	NN	bowl
or	CC	or
cup	NN	cup
sits	VBZ	sit
to	TO	to
the	DT	the
upper	JJ	upper
right	NN	right
.	SENT	.
A	DT	a
person	NN	person
,	,	,
visible	JJ	visible
only	RB	only
from	IN	from
the	DT	the
torso	NN	torso
and	CC	and
hands	NNS	hand
,	,	,
wears	VBZ	wear
a	DT	a
light-colored	JJ	light-colored
dress	NN	dress
or	CC	or
blouse	NN	blouse
and	CC	and
brings	VBZ	bring
the	DT	the
Best	JJS	good
Foods	NPS	Foods
jar	VBP	jar
down	RP	down
between	IN	between
the	DT	the
two	CD	two
salads	NNS	salad
.	SENT	.
The	DT	the
jar	NN	jar
is	VBZ	be
opened	VBN	open
,	,	,
with	IN	with
its	PP$	its
cap	NN	cap
placed	VBD	place
off	RP	off
to	TO	to
the	DT	the
right	NN	right
.	SENT	.
One	CD	one
hand	NN	hand
steadies	VBZ	steady
the	DT	the
jar	NN	jar
while	IN	while
the	DT	the
other	JJ	other
uses	NNS	use
a	DT	a
spoon	NN	spoon
to	TO	to
dip	VB	dip
into	IN	into
the	DT	the
thick	JJ	thick
mayonnaise	NN	mayonnaise
.	SENT	.
A	DT	a
rounded	JJ	rounded
spoonful	NN	spoonful
rises	NNS	rise
from	IN	from
the	DT	the
open	JJ	open
jar	NN	jar
,	,	,
holding	VBG	hold
its	PP$	its
shape	NN	shape
in	IN	in
a	DT	a
smooth	JJ	smooth
mound	NN	mound
.	SENT	.
The	DT	the
spoonful	NN	spoonful
of	IN	of
mayonnaise	NN	mayonnaise
is	VBZ	be
carried	VBN	carry
over	IN	over
the	DT	the
salads	NNS	salad
.	SENT	.
The	DT	the
person	NN	person
places	VBZ	place
a	DT	a
generous	JJ	generous
dollop	NN	dollop
onto	IN	onto
one	CD	one
salad	NN	salad
,	,	,
then	RB	then
smooths	VBZ	smooth
and	CC	and
spreads	VBZ	spread
it	PP	it
across	IN	across
the	DT	the
top	NN	top
.	SENT	.
The	DT	the
jar	NN	jar
remains	VBZ	remain
upright	RB	upright
in	IN	in
the	DT	the
background	NN	background
with	IN	with
the	DT	the
Best	JJS	good
Foods	NPS	Foods
label	VBP	label
facing	VBG	face
forward	RB	forward
.	SENT	.
Another	DT	another
large	JJ	large
spoonful	NN	spoonful
is	VBZ	be
lifted	VBN	lift
and	CC	and
added	VBN	add
to	TO	to
the	DT	the
other	JJ	other
salad	NN	salad
,	,	,
creating	VBG	create
a	DT	a
thick	JJ	thick
,	,	,
creamy	JJ	creamy
white	JJ	white
topping	NN	topping
that	WDT	that
contrasts	VBZ	contrast
with	IN	with
the	DT	the
darker	JJR	dark
leafy	JJ	leafy
base	NN	base
and	CC	and
the	DT	the
rounded	JJ	rounded
salad	NN	salad
ingredients	NNS	ingredient
.	SENT	.
The	DT	the
hands	NNS	hand
work	VBP	work
carefully	RB	carefully
and	CC	and
deliberately	RB	deliberately
,	,	,
decorating	VBG	decorate
the	DT	the
salads	NNS	salad
with	IN	with
visible	JJ	visible
swaths	NNS	swath
of	IN	of
mayonnaise	NN	mayonnaise
.	SENT	.
The	DT	the
food	NN	food
preparation	NN	preparation
shifts	NNS	shift
to	TO	to
a	DT	a
stovetop	NN	<unknown>
or	CC	or
cooking	NN	cooking
surface	NN	surface
.	SENT	.
An	DT	an
open	VBP	open
Best	JJS	good
Foods	NPS	Foods
jar	NN	jar
stands	VBZ	stand
to	TO	to
the	DT	the
left	NN	left
with	IN	with
its	PP$	its
label	NN	label
facing	VBG	face
outward	RB	outward
,	,	,
and	CC	and
its	PP$	its
lid	NN	lid
rests	VBZ	rest
nearby	RB	nearby
.	SENT	.
In	IN	in
the	DT	the
center	NN	center
is	VBZ	be
a	DT	a
clear	JJ	clear
glass	NN	glass
saucepan	NN	saucepan
or	CC	or
bowl	NN	bowl
sitting	VBG	sit
on	IN	on
a	DT	a
dark	JJ	dark
circular	JJ	circular
burner	NN	burner
.	SENT	.
A	DT	a
hand	NN	hand
stirs	VBZ	stir
a	DT	a
pale	JJ	pale
creamy	JJ	creamy
mixture	NN	mixture
inside	NN	inside
with	IN	with
a	DT	a
spoon	NN	spoon
or	CC	or
small	JJ	small
utensil	NN	utensil
.	SENT	.
Another	DT	another
spoonful	NN	spoonful
of	IN	of
mayonnaise	NN	mayonnaise
is	VBZ	be
added	VBN	add
into	IN	into
the	DT	the
glass	NN	glass
vessel	NN	vessel
,	,	,
then	RB	then
stirred	VBD	stir
in	IN	in
.	SENT	.
The	DT	the
mixture	NN	mixture
looks	VBZ	look
smooth	JJ	smooth
and	CC	and
light-colored	JJ	light-colored
as	IN	as
the	DT	the
spoon	NN	spoon
moves	NNS	move
in	IN	in
small	JJ	small
circular	JJ	circular
motions	NNS	motion
.	SENT	.
A	DT	a
glass	NN	glass
container	NN	container
is	VBZ	be
then	RB	then
tipped	VBN	tip
over	IN	over
the	DT	the
saucepan	NN	saucepan
,	,	,
pouring	VBG	pour
in	IN	in
a	DT	a
pale	JJ	pale
liquid	NN	liquid
while	IN	while
the	DT	the
other	JJ	other
hand	NN	hand
continues	VBZ	continue
stirring	VBG	stir
