Against	IN	against
a	DT	a
clean	JJ	clean
white	JJ	white
background	NN	background
,	,	,
animated	JJ	animated
peanuts	NNS	peanut
and	CC	and
peanut	NN	peanut
shells	NNS	shell
drift	VB	drift
and	CC	and
tumble	VB	tumble
through	IN	through
the	DT	the
air	NN	air
.	SENT	.
Pale	JJ	pale
tan	JJ	tan
peanut	NN	peanut
kernels	NNS	kernel
separate	JJ	separate
from	IN	from
their	PP$	their
rough	JJ	rough
,	,	,
beige	JJ	beige
shells	NNS	shell
and	CC	and
begin	VB	begin
dropping	VBG	drop
into	IN	into
a	DT	a
rounded	JJ	rounded
brown	JJ	brown
chocolate	NN	chocolate
cup	NN	cup
,	,	,
like	IN	like
the	DT	the
hollow	JJ	hollow
base	NN	base
of	IN	of
a	DT	a
Hershey	NP	Hershey
’s	POS	's
Kiss	NP	Kiss
.	SENT	.
More	JJR	more
peanut	NN	peanut
pieces	NNS	piece
fall	VBP	fall
inside	RB	inside
until	IN	until
the	DT	the
opening	NN	opening
is	VBZ	be
filled	VBN	fill
with	IN	with
smooth	JJ	smooth
,	,	,
golden	JJ	golden
peanut	NN	peanut
shapes	NNS	shape
.	SENT	.
Around	IN	around
the	DT	the
cup	NN	cup
,	,	,
broken	VBN	break
peanut	NN	peanut
shells	NNS	shell
lie	VBP	lie
scattered	VBN	scatter
on	IN	on
the	DT	the
white	JJ	white
surface	NN	surface
.	SENT	.
A	DT	a
white	JJ	white
paper	NN	paper
plume	NN	plume
with	IN	with
the	DT	the
blue	JJ	blue
word	NN	word
“	``	"
KISSES	VBZ	kiss
”	''	"
curls	NNS	curl
upward	RB	upward
from	IN	from
behind	IN	behind
it	PP	it
,	,	,
and	CC	and
a	DT	a
pointed	JJ	pointed
chocolate	NN	chocolate
top	NN	top
lowers	VBZ	lower
into	IN	into
place	NN	place
,	,	,
transforming	VBG	transform
the	DT	the
rounded	JJ	rounded
cup	NN	cup
into	IN	into
the	DT	the
familiar	JJ	familiar
teardrop	NN	teardrop
shape	NN	shape
of	IN	of
a	DT	a
Hershey	NP	Hershey
’s	POS	's
Kiss	NP	Kiss
.	SENT	.
The	DT	the
completed	VBN	complete
chocolate	NN	chocolate
Kiss	NP	Kiss
sits	VBZ	sit
among	IN	among
the	DT	the
peanut	NN	peanut
shells	NNS	shell
,	,	,
with	IN	with
its	PP$	its
white	NN	white
“	``	"
KISSES	VBZ	kiss
”	''	"
ribbon	NN	ribbon
waving	VBG	wave
above	IN	above
it	PP	it
.	SENT	.
It	PP	it
rocks	VBZ	rock
and	CC	and
bounces	VBZ	bounce
lightly	RB	lightly
from	IN	from
side	NN	side
to	TO	to
side	NN	side
,	,	,
almost	RB	almost
as	RB	as
if	IN	if
dancing	NN	dancing
.	SENT	.
The	DT	the
chocolate	NN	chocolate
shape	NN	shape
leans	NNS	lean
,	,	,
pivots	NNS	pivot
,	,	,
and	CC	and
lifts	VBZ	lift
slightly	RB	slightly
off	IN	off
the	DT	the
surface	NN	surface
while	IN	while
the	DT	the
ribbon	NN	ribbon
trails	VBZ	trail
behind	IN	behind
in	IN	in
a	DT	a
loose	JJ	loose
curve	NN	curve
.	SENT	.
The	DT	the
top	NN	top
then	RB	then
rises	VBZ	rise
away	RB	away
,	,	,
revealing	VBG	reveal
the	DT	the
inside	NN	inside
:	:	:
a	DT	a
thick	JJ	thick
,	,	,
smooth	JJ	smooth
,	,	,
tan	JJ	tan
peanut	NN	peanut
butter	NN	butter
filling	NN	filling
swirled	VBD	swirl
neatly	RB	neatly
within	IN	within
the	DT	the
brown	JJ	brown
chocolate	NN	chocolate
rim	NN	rim
.	SENT	.
The	DT	the
view	NN	view
lingers	VBZ	linger
on	IN	on
the	DT	the
creamy	JJ	creamy
spiral	NN	spiral
,	,	,
