At	IN	at
dusk	NN	dusk
in	IN	in
a	DT	a
stylized	VBN	stylize
city	NN	city
,	,	,
a	DT	a
large	JJ	large
illuminated	VBN	illuminate
rooftop	NN	rooftop
billboard	NN	billboard
stands	VBZ	stand
among	IN	among
high-rise	JJ	high-rise
buildings	NNS	building
under	IN	under
a	DT	a
purple-blue	NN	<unknown>
sky	NN	sky
.	SENT	.
The	DT	the
billboard	NN	billboard
has	VBZ	have
a	DT	a
teal	NN	teal
background	NN	background
.	SENT	.
On	IN	on
the	DT	the
left	NN	left
is	VBZ	be
a	DT	a
large	JJ	large
white	JJ	white
jug	NN	jug
of	IN	of
Clorox	NP	Clorox
Ultra	JJ	ultra
Bleach	NN	bleach
with	IN	with
a	DT	a
green	JJ	green
cap	NN	cap
and	CC	and
the	DT	the
familiar	JJ	familiar
oval	JJ	oval
Clorox	NP	Clorox
label	NN	label
.	SENT	.
To	TO	to
the	DT	the
right	NN	right
,	,	,
big	JJ	big
white	JJ	white
lettering	NN	lettering
reads	VBZ	read
,	,	,
“	``	"
NEW	JJ	new
ULTRA	JJ	ultra
CLOROX	NP	Clorox
BLEACH	NN	bleach
GETS	VBZ	get
WHITES	NNS	white
EVEN	RB	even
WHITER	JJR	white
,	,	,
”	''	"
though	IN	though
the	DT	the
final	JJ	final
word	NN	word
is	VBZ	be
partly	RB	partly
being	VBG	be
covered	VBN	cover
with	IN	with
pale	JJ	pale
green	JJ	green
paint	NN	paint
.	SENT	.
Two	CD	two
animated	JJ	animated
bleach-bottle	NN	bleach-bottle
characters	NNS	character
are	VBP	be
on	IN	on
the	DT	the
narrow	JJ	narrow
platform	NN	platform
in	IN	in
front	NN	front
of	IN	of
the	DT	the
billboard	NN	billboard
.	SENT	.
Both	DT	both
are	VBP	be
white	JJ	white
plastic	JJ	plastic
jug-like	JJ	<unknown>
figures	NNS	figure
with	IN	with
faces	NNS	face
,	,	,
arms	NNS	arm
,	,	,
and	CC	and
“	``	"
BARGAIN	NN	bargain
BLEACH	NN	bleach
”	''	"
printed	VBN	print
across	IN	across
their	PP$	their
bodies	NNS	body
.	SENT	.
One	PP	one
is	VBZ	be
tall	JJ	tall
and	CC	and
slim	JJ	slim
,	,	,
wearing	VBG	wear
a	DT	a
red-and-yellow	JJ	red-and-yellow
cap	NN	cap
turned	VBD	turn
sideways	RB	sideways
;	:	;
the	DT	the
other	JJ	other
is	VBZ	be
shorter	JJR	short
and	CC	and
rounder	JJR	round
,	,	,
with	IN	with
thick	JJ	thick
dark	JJ	dark
eyebrows	NNS	eyebrow
and	CC	and
a	DT	a
small	JJ	small
blue	JJ	blue
cap.	NN	<unknown>
The	DT	the
squat	JJ	squat
character	NN	character
holds	VBZ	hold
a	DT	a
paint	NN	paint
roller	NN	roller
and	CC	and
is	VBZ	be
actively	RB	actively
painting	VBG	paint
over	IN	over
the	DT	the
word	NN	word
“	``	"
WHITER	JJR	white
”	''	"
on	IN	on
the	DT	the
sign	NN	sign
.	SENT	.
A	DT	a
paint	NN	paint
tray	NN	tray
and	CC	and
small	JJ	small
paint	NN	paint
container	NN	container
sit	VBP	sit
on	IN	on
the	DT	the
platform	NN	platform
between	IN	between
them	PP	them
.	SENT	.
The	DT	the
taller	JJR	tall
character	NN	character
stands	VBZ	stand
beside	IN	beside
him	PP	him
,	,	,
watching	VBG	watch
and	CC	and
gesturing	VBG	gesture
as	IN	as
the	DT	the
green	JJ	green
paint	NN	paint
spreads	NNS	spread
over	IN	over
the	DT	the
letters	NNS	letter
.	SENT	.
Closer	RBR	closer
to	TO	to
the	DT	the
billboard	NN	billboard
,	,	,
the	DT	the
large	JJ	large
Clorox	NP	Clorox
product	NN	product
image	NN	image
fills	VBZ	fill
the	DT	the
left	VBN	leave
side	NN	side
while	IN	while
the	DT	the
two	CD	two
bargain-bleach	NN	bargain-bleach
characters	NNS	character
occupy	VBP	occupy
the	DT	the
platform	NN	platform
below	IN	below
the	DT	the
text	NN	text
.	SENT	.
The	DT	the
squat	JJ	squat
character	NN	character
continues	VBZ	continue
rolling	JJ	rolling
paint	NN	paint
across	IN	across
the	DT	the
bright	JJ	bright
white	JJ	white
letters	NNS	letter
,	,	,
while	IN	while
the	DT	the
taller	JJR	tall
one	CD	one
looks	NNS	look
on	IN	on
with	IN	with
wide	JJ	wide
eyes	NNS	eye
.	SENT	.
The	DT	the
roller	NN	roller
moves	VBZ	move
between	IN	between
the	DT	the
paint	NN	paint
tray	NN	tray
and	CC	and
the	DT	the
billboard	NN	billboard
.	SENT	.
As	IN	as
they	PP	they
interact	VBP	interact
,	,	,
the	DT	the
taller	JJR	tall
character	NN	character
gestures	NNS	gesture
with	IN	with
one	CD	one
hand	NN	hand
as	IN	as
if	IN	if
arguing	VBG	argue
or	CC	or
cautioning	VBG	caution
,	,	,
while	IN	while
the	DT	the
squat	JJ	squat
character	NN	character
keeps	VBZ	keep
a	DT	a
confident	JJ	confident
,	,	,
determined	JJ	determined
expression	NN	expression
and	CC	and
points	NNS	point
or	CC	or
waves	NNS	wave
the	DT	the
roller	NN	roller
toward	IN	toward
the	DT	the
sign	NN	sign
.	SENT	.
The	DT	the
green	JJ	green
paint	NN	paint
sits	VBZ	sit
in	IN	in
uneven	JJ	uneven
patches	NNS	patch
over	IN	over
the	DT	the
word	NN	word
,	,	,
but	CC	but
the	DT	the
original	JJ	original
white	JJ	white
letters	NNS	letter
are	VBP	be
still	RB	still
partly	RB	partly
visible	JJ	visible
underneath	RB	underneath
.	SENT	.
The	DT	the
squat	JJ	squat
character	NN	character
becomes	VBZ	become
more	RBR	more
animated	VBN	animate
with	IN	with
the	DT	the
roller	NN	roller
,	,	,
swinging	VBG	swing
it	PP	it
upward	RB	upward
and	CC	and
splattering	VBG	splatter
light-colored	JJ	light-colored
paint	NN	paint
.	SENT	.
The	DT	the
taller	JJR	tall
character	NN	character
recoils	VBZ	recoil
,	,	,
raises	VBZ	raise
his	PP$	his
hands	NNS	hand
,	,	,
and	CC	and
briefly	RB	briefly
covers	VBZ	cover
his	PP$	his
face	NN	face
as	IN	as
drops	NNS	drop
of	IN	of
paint	NN	paint
scatter	NN	scatter
near	IN	near
him	PP	him
and	CC	and
across	IN	across
the	DT	the
billboard	NN	billboard
.	SENT	.
The	DT	the
squat	JJ	squat
character	NN	character
looks	VBZ	look
pleased	JJ	pleased
with	IN	with
himself	PP	himself
,	,	,
while	IN	while
the	DT	the
taller	JJR	tall
one	PP	one
appears	VBZ	appear
startled	VBN	startle
and	CC	and
annoyed	VBN	annoy
,	,	,
his	PP$	his
body	NN	body
pulled	VBD	pull
back	RB	back
and	CC	and
his	PP$	his
eyes	NNS	eye
widened	VBD	widen
.	SENT	.
The	DT	the
scene	NN	scene
changes	NNS	change
to	TO	to
a	DT	a
product	NN	product
demonstration	NN	demonstration
on	IN	on
a	DT	a
plain	JJ	plain
teal-blue	NN	<unknown>
background	NN	background
.	SENT	.
A	DT	a
single	JJ	single
long	JJ	long
white	JJ	white
sock	NN	sock
appears	VBZ	appear
tilted	VBN	tilt
diagonally	RB	diagonally
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
visibly	RB	visibly
gray	JJ	gray
and	CC	and
brown	JJ	brown
with	IN	with
heavy	JJ	heavy
dirt	NN	dirt
stains	NNS	stain
.	SENT	.
The	DT	the
word	NN	word
“	``	"
BEFORE	RB	before
”	''	"
appears	NNS	appear
in	IN	in
small	JJ	small
white	JJ	white
capital	NN	capital
letters	NNS	letter
near	IN	near
the	DT	the
upper	JJ	upper
left	NN	left
of	IN	of
the	DT	the
sock	NN	sock
.	SENT	.
The	DT	the
dirty	JJ	dirty
sock	NN	sock
remains	VBZ	remain
on	IN	on
the	DT	the
left	NN	left
as	IN	as
the	DT	the
screen	NN	screen
becomes	VBZ	become
divided	VBN	divide
vertically	RB	vertically
.	SENT	.
On	IN	on
the	DT	the
right	NN	right
,	,	,
a	DT	a
matching	VBG	match
sock	NN	sock
appears	VBZ	appear
bright	JJ	bright
,	,	,
clean	JJ	clean
,	,	,
and	CC	and
white	JJ	white
,	,	,
with	IN	with
the	DT	the
text	NN	text
“	``	"
NEW	JJ	new
ULTRA	JJ	ultra
CLOROX	NP	Clorox
BLEACH	NN	bleach
”	''	"
above	IN	above
it	PP	it
.	SENT	.
The	DT	the
contrast	NN	contrast
is	VBZ	be
clear	JJ	clear
:	:	:
the	DT	the
left	JJ	left
sock	NN	sock
is	VBZ	be
dingy	JJ	dingy
and	CC	and
stained	VBN	stain
,	,	,
while	IN	while
the	DT	the
right	JJ	right
sock	NN	sock
is	VBZ	be
much	RB	much
whiter	JJR	white
.	SENT	.
A	DT	a
small	JJ	small
“	``	"
Dramatization	NN	dramatization
”	''	"
note	NN	note
appears	VBZ	appear
near	IN	near
the	DT	the
bottom	NN	bottom
as	IN	as
the	DT	the
comparison	NN	comparison
overlaps	VBZ	overlap
briefly	RB	briefly
with	IN	with
the	DT	the
billboard	NN	billboard
imagery	NN	imagery
.	SENT	.
Back	RB	back
on	IN	on
the	DT	the
rooftop	NN	rooftop
,	,	,
the	DT	the
billboard	NN	billboard
again	RB	again
dominates	VBZ	dominate
the	DT	the
scene	NN	scene
,	,	,
with	IN	with
the	DT	the
large	JJ	large
Clorox	NP	Clorox
jug	NN	jug
on	IN	on
the	DT	the
left	NN	left
and	CC	and
the	DT	the
bold	JJ	bold
claim	NN	claim
across	IN	across
the	DT	the
teal	NN	teal
background	NN	background
.	SENT	.
The	DT	the
word	NN	word
“	``	"
WHITER	JJR	white
”	''	"
is	VBZ	be
still	RB	still
smeared	VBN	smear
with	IN	with
pale	JJ	pale
green	JJ	green
paint	NN	paint
,	,	,
and	CC	and
the	DT	the
two	CD	two
bargain-bleach	NN	bargain-bleach
characters	NNS	character
stand	VBP	stand
below	IN	below
it	PP	it
on	IN	on
the	DT	the
rooftop	NN	rooftop
surface	NN	surface
.	SENT	.
The	DT	the
taller	JJR	tall
one	CD	one
,	,	,
in	IN	in
the	DT	the
red-and-yellow	JJ	red-and-yellow
cap	NN	cap
,	,	,
stands	VBZ	stand
near	IN	near
a	DT	a
paint	NN	paint
can	MD	can
and	CC	and
looks	VBZ	look
concerned	VBN	concern
;	:	;
