Against	IN	against
a	DT	a
bright	JJ	bright
baseball	NN	baseball
stadium	NN	stadium
backdrop	NN	backdrop
,	,	,
a	DT	a
large	JJ	large
blue	JJ	blue
bottle	NN	bottle
of	IN	of
All	DT	all
Stainlifter	NP	<unknown>
laundry	NN	laundry
detergent	NN	detergent
stands	VBZ	stand
upright	RB	upright
on	IN	on
green	JJ	green
grass	NN	grass
near	IN	near
the	DT	the
infield	NN	infield
dirt	NN	dirt
.	SENT	.
It	PP	it
has	VBZ	have
a	DT	a
yellow	JJ	yellow
cap	NN	cap
,	,	,
a	DT	a
built-in	JJ	built-in
handle	NN	handle
on	IN	on
the	DT	the
right	NN	right
,	,	,
and	CC	and
a	DT	a
yellow	JJ	yellow
label	NN	label
with	IN	with
the	DT	the
large	JJ	large
lowercase	JJ	lowercase
“	``	"
all	RB	all
”	''	"
logo	NN	logo
and	CC	and
“	``	"
stainlifter	NN	stainlifter
”	''	"
beneath	IN	beneath
it	PP	it
.	SENT	.
Bold	JJ	bold
promotional	JJ	promotional
text	NN	text
then	RB	then
fills	VBZ	fill
the	DT	the
center	NN	center
over	IN	over
the	DT	the
bottle	NN	bottle
:	:	:
“	``	"
NOW	RB	now
!	SENT	!
IN-WASH	NP	<unknown>
PRE-TREATERS	NP	<unknown>
”	''	"
and	CC	and
,	,	,
below	IN	below
it	PP	it
,	,	,
“	``	"
FOR	IN	for
BETTER	JJR	good
STAIN	NN	stain
REMOVAL	NN	removal
.	SENT	.
”	''	"
Small	JJ	small
fine	JJ	fine
print	NN	print
near	IN	near
the	DT	the
lower	JJR	low
right	NN	right
says	VBZ	say
it	PP	it
is	VBZ	be
“	``	"
specially	RB	specially
formulated	VBN	formulate
with	IN	with
added	JJ	added
enzymes	NNS	enzyme
.	SENT	.
”	''	"
The	DT	the
scene	NN	scene
shifts	VBZ	shift
to	TO	to
a	DT	a
Little	NP	Little
League	NP	League
baseball	NN	baseball
field	NN	field
.	SENT	.
Youth	NN	youth
players	NNS	player
in	IN	in
full	JJ	full
uniforms	NNS	uniform
are	VBP	be
in	IN	in
action	NN	action
around	IN	around
home	NN	home
plate	NN	plate
,	,	,
with	IN	with
Little	NP	Little
League	NP	League
Baseball	NP	Baseball
logos	NNS	logo
visible	JJ	visible
on	IN	on
the	DT	the
dark	JJ	dark
green	JJ	green
outfield	NN	outfield
wall	NN	wall
.	SENT	.
A	DT	a
pitcher	NN	pitcher
in	IN	in
a	DT	a
yellow	JJ	yellow
jersey	NN	jersey
has	VBZ	have
just	RB	just
thrown	VBN	throw
toward	IN	toward
a	DT	a
batter	NN	batter
in	IN	in
a	DT	a
light	JJ	light
blue	JJ	blue
jersey	NN	jersey
,	,	,
while	IN	while
a	DT	a
catcher	NN	catcher
crouches	VBZ	crouch
behind	IN	behind
the	DT	the
plate	NN	plate
.	SENT	.
The	DT	the
commercial	NN	commercial
then	RB	then
focuses	VBZ	focus
on	IN	on
the	DT	the
kind	NN	kind
of	IN	of
messy	JJ	messy
play	NN	play
that	WDT	that
creates	VBZ	create
stains	NNS	stain
.	SENT	.
A	DT	a
youth	NN	youth
fielder	NN	fielder
in	IN	in
a	DT	a
green	JJ	green
jersey	NN	jersey
,	,	,
red	JJ	red
sleeves	NNS	sleeve
,	,	,
white	JJ	white
pants	NNS	pant
,	,	,
and	CC	and
a	DT	a
green	JJ	green
cap	NN	cap
dives	VBZ	dive
low	JJ	low
across	IN	across
the	DT	the
grass	NN	grass
,	,	,
stretching	VBG	stretch
one	CD	one
arm	NN	arm
toward	IN	toward
a	DT	a
rolling	JJ	rolling
baseball	NN	baseball
.	SENT	.
His	PP$	his
white	JJ	white
pants	NNS	pant
and	CC	and
jersey	NN	jersey
scrape	NN	scrape
the	DT	the
turf	NN	turf
as	IN	as
dirt	NN	dirt
and	CC	and
grass	NN	grass
kick	VBP	kick
up	RP	up
around	IN	around
him	PP	him
.	SENT	.
Another	DT	another
player	NN	player
in	IN	in
a	DT	a
matching	VBG	match
green	JJ	green
uniform	NN	uniform
stands	VBZ	stand
behind	IN	behind
him	PP	him
with	IN	with
a	DT	a
glove	NN	glove
,	,	,
watching	VBG	watch
the	DT	the
play	NN	play
.	SENT	.
Another	DT	another
youth	NN	youth
player	NN	player
in	IN	in
a	DT	a
light	JJ	light
blue	JJ	blue
jersey	NN	jersey
and	CC	and
white	JJ	white
pants	NNS	pant
dives	NNS	dive
and	CC	and
slides	NNS	slide
across	IN	across
the	DT	the
outfield	NN	outfield
grass	NN	grass
.	SENT	.
He	PP	he
lands	VBZ	land
on	IN	on
his	PP$	his
side	NN	side
,	,	,
then	RB	then
rolls	VBZ	roll
with	IN	with
his	PP$	his
legs	NNS	leg
flipping	VBG	flip
upward	RB	upward
,	,	,
his	PP$	his
white	JJ	white
pants	NNS	pant
dragging	VBG	drag
across	IN	across
the	DT	the
green	JJ	green
turf	NN	turf
.	SENT	.
The	DT	the
emphasis	NN	emphasis
is	VBZ	be
on	IN	on
the	DT	the
contact	NN	contact
between	IN	between
the	DT	the
clean	JJ	clean
white	JJ	white
uniform	NN	uniform
fabric	NN	fabric
and	CC	and
the	DT	the
grass	NN	grass
,	,	,
suggesting	VBG	suggest
heavy	JJ	heavy
grass	NN	grass
stains	NNS	stain
from	IN	from
the	DT	the
slide	NN	slide
.	SENT	.
At	IN	at
home	NN	home
plate	NN	plate
,	,	,
a	DT	a
runner	NN	runner
in	IN	in
a	DT	a
red	JJ	red
jersey	NN	jersey
and	CC	and
white	JJ	white
pants	NNS	pant
charges	NNS	charge
in	IN	in
and	CC	and
slides	NNS	slide
feet-first	NN	feet-first
through	IN	through
the	DT	the
dirt	NN	dirt
.	SENT	.
A	DT	a
catcher	NN	catcher
in	IN	in
a	DT	a
green	JJ	green
uniform	NN	uniform
reaches	VBZ	reach
to	TO	to
tag	VB	tag
him	PP	him
as	IN	as
dust	NN	dust
rises	NNS	rise
from	IN	from
the	DT	the
brown	JJ	brown
batter	NN	batter
’s	POS	's
box	NN	box
area	NN	area
.	SENT	.
The	DT	the
runner	NN	runner
ends	VBZ	end
up	RB	up
low	JJ	low
on	IN	on
the	DT	the
ground	NN	ground
under	IN	under
the	DT	the
catcher	NN	catcher
’s	POS	's
legs	NNS	leg
,	,	,
and	CC	and
the	DT	the
catcher	NN	catcher
bends	VBZ	bend
over	IN	over
him	PP	him
with	IN	with
glove	NN	glove
extended	VBD	extend
.	SENT	.
A	DT	a
baseball	NN	baseball
bat	NN	bat
lies	VBZ	lie
on	IN	on
the	DT	the
dirt	NN	dirt
to	TO	to
the	DT	the
right	NN	right
of	IN	of
the	DT	the
plate	NN	plate
,	,	,
adding	VBG	add
to	TO	to
the	DT	the
busy	JJ	busy
,	,	,
game-in-progress	JJ	<unknown>
setting	NN	setting
.	SENT	.
The	DT	the
action	NN	action
moves	VBZ	move
to	TO	to
two	CD	two
youth	NN	youth
players	NNS	player
in	IN	in
light	JJ	light
blue	JJ	blue
jerseys	NNS	jersey
standing	VBG	stand
near	IN	near
a	DT	a
fence	NN	fence
with	IN	with
spectators	NNS	spectator
seated	VBN	seat
behind	IN	behind
them	PP	them
.	SENT	.
One	CD	one
player	NN	player
wears	VBZ	wear
the	DT	the
number	NN	number
25	CD	@card@
and	CC	and
holds	VBZ	hold
a	DT	a
yellow-and-black	NP	yellow-and-black
bat	NN	bat
upright	NN	upright
,	,	,
smiling	VBG	smile
beneath	IN	beneath
a	DT	a
batting	NN	batting
helmet	NN	helmet
.	SENT	.
Another	DT	another
player	NN	player
,	,	,
number	NN	number
18	CD	@card@
,	,	,
faces	VBZ	face
him	PP	him
with	IN	with
his	PP$	his
back	RB	back
partly	RB	partly
turned	VBN	turn
.	SENT	.
Both	CC	both
wear	VB	wear
white	JJ	white
baseball	NN	baseball
pants	NNS	pant
,	,	,
and	CC	and
visible	JJ	visible
smudges	NNS	smudge
and	CC	and
yellow-green	NN	yellow-green
marks	NNS	mark
appear	VBP	appear
on	IN	on
the	DT	the
pants	NNS	pant
,	,	,
especially	RB	especially
around	IN	around
the	DT	the
thighs	NNS	thigh
and	CC	and
seat	NN	seat
area	NN	area
,	,	,
reinforcing	VBG	reinforce
the	DT	the
grass-stain	NN	grass-stain
theme	NN	theme
.	SENT	.
In	IN	in
a	DT	a
bright	JJ	bright
laundry-room	NN	<unknown>
or	CC	or
home	NN	home
setting	NN	setting
,	,	,
a	DT	a
pair	NN	pair
of	IN	of
white	JJ	white
baseball	NN	baseball
pants	NNS	pant
is	VBZ	be
held	VBN	hold
up	RP	up
by	IN	by
two	CD	two
adult	NN	adult
hands	NNS	hand
.	SENT	.
The	DT	the
fabric	NN	fabric
is	VBZ	be
marked	VBN	mark
with	IN	with
large	JJ	large
green	JJ	green
grass	NN	grass
stains	NNS	stain
,	,	,
especially	RB	especially
on	IN	on
the	DT	the
left	VBN	leave
side	NN	side
and	CC	and
near	IN	near
the	DT	the
lower	JJR	low
front	NN	front
.	SENT	.
A	DT	a
white	JJ	white
appliance	NN	appliance
dial	NN	dial
is	VBZ	be
visible	JJ	visible
to	TO	to
the	DT	the
left	NN	left
