Dependent	Source	DF	SS	MS	FValue	ProbF
cross1	Model	7	354.5654686	50.6522098	134.46	<.0001
cross1	Error	812	305.8863437	0.3767073	_	_
cross1	Corrected Total	819	660.4518124	_	_	_
cross2	Model	7	57.6025140	8.2289306	12.07	<.0001
cross2	Error	812	553.4584631	0.6815991	_	_
cross2	Corrected Total	819	611.0609771	_	_	_
cross3	Model	7	10.5692274	1.5098896	2.27	0.0273
cross3	Error	812	540.6744211	0.6658552	_	_
cross3	Corrected Total	819	551.2436486	_	_	_
cross4	Model	7	15.3476751	2.1925250	3.53	0.0010
cross4	Error	812	504.0570877	0.6207600	_	_
cross4	Corrected Total	819	519.4047628	_	_	_
cross5	Model	7	11.6574741	1.6653534	2.86	0.0059
cross5	Error	812	472.6115329	0.5820339	_	_
cross5	Corrected Total	819	484.2690069	_	_	_
cross6	Model	7	12.2267224	1.7466746	3.04	0.0037
cross6	Error	812	466.8951096	0.5749940	_	_
cross6	Corrected Total	819	479.1218320	_	_	_
cross7	Model	7	46.3225566	6.6175081	12.81	<.0001
cross7	Error	812	419.4664991	0.5165844	_	_
cross7	Corrected Total	819	465.7890557	_	_	_
