Dependent	HypothesisType	Source	DF	SS	MS	FValue	ProbF
cross1	1	decade	7	354.565469	50.652210	134.46	<.0001
cross1	3	decade	7	354.565469	50.652210	134.46	<.0001
cross2	1	decade	7	57.602514	8.228931	12.07	<.0001
cross2	3	decade	7	57.602514	8.228931	12.07	<.0001
cross3	1	decade	7	10.569227	1.509890	2.27	0.0273
cross3	3	decade	7	10.569227	1.509890	2.27	0.0273
cross4	1	decade	7	15.347675	2.192525	3.53	0.0010
cross4	3	decade	7	15.347675	2.192525	3.53	0.0010
cross5	1	decade	7	11.657474	1.665353	2.86	0.0059
cross5	3	decade	7	11.657474	1.665353	2.86	0.0059
cross6	1	decade	7	12.226722	1.746675	3.04	0.0037
cross6	3	decade	7	12.226722	1.746675	3.04	0.0037
cross7	1	decade	7	46.322557	6.617508	12.81	<.0001
cross7	3	decade	7	46.322557	6.617508	12.81	<.0001
