Dependent	HypothesisType	Source	DF	SS	MS	FValue	ProbF
V1	1	decade	7	287.680448	41.097207	62.81	<.0001
V1	3	decade	7	287.680448	41.097207	62.81	<.0001
W1	1	decade	7	433.873974	61.981996	130.68	<.0001
W1	3	decade	7	433.873974	61.981996	130.68	<.0001
V2	1	decade	7	48.912823	6.987546	7.37	<.0001
V2	3	decade	7	48.912823	6.987546	7.37	<.0001
W2	1	decade	7	75.193730	10.741961	11.73	<.0001
W2	3	decade	7	75.193730	10.741961	11.73	<.0001
V3	1	decade	7	6.351257	0.907322	0.91	0.5005
V3	3	decade	7	6.351257	0.907322	0.91	0.5005
W3	1	decade	7	21.422596	3.060371	3.12	0.0030
W3	3	decade	7	21.422596	3.060371	3.12	0.0030
V4	1	decade	7	10.211155	1.458736	1.46	0.1765
V4	3	decade	7	10.211155	1.458736	1.46	0.1765
W4	1	decade	7	37.931554	5.418793	5.63	<.0001
W4	3	decade	7	37.931554	5.418793	5.63	<.0001
V5	1	decade	7	7.620457	1.088637	1.09	0.3679
V5	3	decade	7	7.620457	1.088637	1.09	0.3679
W5	1	decade	7	50.204775	7.172111	7.58	<.0001
W5	3	decade	7	50.204775	7.172111	7.58	<.0001
V6	1	decade	7	4.159466	0.594209	0.59	0.7627
V6	3	decade	7	4.159466	0.594209	0.59	0.7627
W6	1	decade	7	30.803638	4.400520	4.53	<.0001
W6	3	decade	7	30.803638	4.400520	4.53	<.0001
V7	1	decade	7	4.333699	0.619100	0.62	0.7421
V7	3	decade	7	4.333699	0.619100	0.62	0.7421
W7	1	decade	7	150.260183	21.465740	26.06	<.0001
W7	3	decade	7	150.260183	21.465740	26.06	<.0001
