there	EX	there
's	VBZ	be
only	RB	only
one	CD	one
way	NN	way
that	IN	that
you	PP	you
can	MD	can
find	VB	find
out	RP	out
whether	IN	whether
you	PP	you
like	VBP	like
our	PP$	our
product	NN	product
skippy	NN	<unknown>
peanut	NN	peanut
butter	NN	butter
and	CC	and
that	WDT	that
is	VBZ	be
to	TO	to
taste	VB	taste
it	PP	it
with	IN	with
your	PP$	your
very	RB	very
own	JJ	own
taster	NN	taster
you	PP	you
'll	MD	will
never	RB	never
find	VB	find
out	RP	out
how	WRB	how
good	JJ	good
skippy	NN	<unknown>
is	VBZ	be
by	IN	by
listening	VBG	listen
to	TO	to
us	PP	us
talk	VBP	talk
about	IN	about
it	PP	it
because	IN	because
you	PP	you
ca	MD	ca
n't	RB	n't
taste	VB	taste
with	IN	with
your	PP$	your
ear	NN	ear
you	PP	you
ca	MD	ca
n't	RB	n't
discover	VB	discover
how	WRB	how
good	JJ	good
skippy	NN	<unknown>
is	VBZ	be
by	IN	by
looking	VBG	look
at	IN	at
it	PP	it
on	IN	on
television	NN	television
because	IN	because
you	PP	you
ca	MD	ca
n't	RB	n't
taste	VB	taste
with	IN	with
your	PP$	your
eye	NN	eye
even	RB	even
thinking	VBG	think
about	IN	about
skippy	NN	<unknown>
does	VBZ	do
n't	RB	n't
help	VB	help
because	IN	because
you	PP	you
ca	MD	ca
n't	RB	n't
taste	VB	taste
it	PP	it
with	IN	with
your	PP$	your
brain	NN	brain
in	IN	in
fact	NN	fact
your	PP$	your
brain	NN	brain
may	MD	may
think	VB	think
you	PP	you
do	VBP	do
n't	RB	n't
like	VB	like
any	DT	any
kind	NN	kind
of	IN	of
peanut	NN	peanut
butter	NN	butter
because	IN	because
it	PP	it
's	VBZ	be
too	RB	too
oily	JJ	oily
and	CC	and
sticky	JJ	sticky
and	CC	and
hard	JJ	hard
to	TO	to
digest	VB	digest
but	CC	but
skippy	NN	<unknown>
's	POS	's
secret	JJ	secret
patented	JJ	patented
process	NN	process
eliminates	VBZ	eliminate
these	DT	these
drawbacks	NNS	drawback
so	RB	so
try	VBP	try
skippy	NN	<unknown>
with	IN	with
your	PP$	your
very	RB	very
own	JJ	own
taster	NN	taster
you	PP	you
'll	MD	will
find	VB	find
it	PP	it
tastes	VBZ	taste
exactly	RB	exactly
like	VB	like
plump	JJ	plump
fancy	JJ	fancy
fresh	JJ	fresh
roasted	VBN	roast
peanuts	NNS	peanut
and	CC	and
if	IN	if
you	PP	you
like	VBP	like
peanuts	NNS	peanut
you	PP	you
'll	MD	will
like	VB	like
skippy	NN	<unknown>
