There	EX	there
's	VBZ	be
an	DT	an
article	NN	article
in	IN	in
this	DT	this
recent	JJ	recent
issue	NN	issue
of	IN	of
Time	NP	Time
magazine	NN	magazine
,	,	,
very	RB	very
interesting	JJ	interesting
,	,	,
especially	RB	especially
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
stop	VB	stop
smoking	NN	smoking
.	SENT	.
They	PP	they
're	VBP	be
about	RB	about
these	DT	these
tablets	NNS	tablet
,	,	,
Flavettes	NP	<unknown>
they	PP	they
're	VBP	be
called	VBN	call
.	SENT	.
They	PP	they
're	VBP	be
safe	JJ	safe
,	,	,
they	PP	they
're	VBP	be
non-habit	RB	<unknown>
forming	VBG	form
.	SENT	.
Now	RB	now
whenever	WRB	whenever
you	PP	you
get	VBP	get
the	DT	the
urge	NN	urge
to	TO	to
smoke	VB	smoke
,	,	,
you	PP	you
take	VBP	take
a	DT	a
Flavette	NP	Flavette
instead	RB	instead
.	SENT	.
It	PP	it
tastes	VBZ	taste
good	RB	good
too	RB	too
,	,	,
just	RB	just
let	VB	let
it	PP	it
dissolve	VB	dissolve
and	CC	and
that	DT	that
urge	NN	urge
to	TO	to
smoke	VB	smoke
begins	VBZ	begin
to	TO	to
disappear	VB	disappear
.	SENT	.
You	PP	you
take	VBP	take
fewer	JJR	few
and	CC	and
fewer	JJR	few
as	IN	as
you	PP	you
go	VBP	go
along	RP	along
until	IN	until
first	JJ	first
thing	NN	thing
you	PP	you
know	VBP	know
you	PP	you
're	VBP	be
rid	VBN	rid
of	IN	of
the	DT	the
tobacco	NN	tobacco
habit	NN	habit
and	CC	and
Flavettes	NP	<unknown>
really	RB	really
work	VB	work
too	RB	too
.	SENT	.
Hundreds	NNS	hundred
of	IN	of
smokers	NNS	smoker
have	VBP	have
tried	VBN	try
them	PP	them
,	,	,
smokers	NNS	smoker
who	WP	who
could	MD	could
n't	RB	n't
stop	VB	stop
through	IN	through
willpower	NN	willpower
alone	RB	alone
,	,	,
but	CC	but
with	IN	with
a	DT	a
little	JJ	little
willpower	NN	willpower
plus	IN	plus
Flavettes	NP	<unknown>
,	,	,
more	JJR	more
than	IN	than
three	CD	three
out	RB	out
of	IN	of
four	CD	four
of	IN	of
these	DT	these
people	NNS	people
did	VBD	do
stop	VB	stop
smoking	NN	smoking
or	CC	or
cut	VB	cut
down	RP	down
substantially	RB	substantially
.	SENT	.
And	CC	and
best	JJS	good
of	IN	of
all	DT	all
,	,	,
you	PP	you
wo	MD	wo
n't	RB	n't
put	VB	put
on	IN	on
weight	NN	weight
because	IN	because
Flavettes	NP	<unknown>
also	RB	also
curb	VB	curb
that	DT	that
big	JJ	big
appetite	NN	appetite
you	PP	you
get	VBP	get
when	WRB	when
you	PP	you
stop	VBP	stop
smoking	NN	smoking
.	SENT	.
You	PP	you
can	MD	can
get	VB	get
Flavettes	NP	<unknown>
at	IN	at
any	DT	any
drugstore	NN	drugstore
,	,	,
they	PP	they
're	VBP	be
made	VBN	make
and	CC	and
guaranteed	VBN	guarantee
by	IN	by
the	DT	the
Norwich	NP	Norwich
Pharmacol	NP	<unknown>
Company	NP	Company
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
stop	VB	stop
smoking	NN	smoking
,	,	,
you	PP	you
give	VBP	give
these	DT	these
a	DT	a
try	NN	try
.	SENT	.
Flavettes	NP	<unknown>
.	SENT	.
