What	WP	what
makes	VBZ	make
Yuban	NN	Yuban
the	DT	the
richest	JJS	rich
of	IN	of
all	DT	all
coffees	NNS	coffee
?	SENT	?
Aged	VBN	age
coffee	NN	coffee
beans	NNS	bean
,	,	,
fresh	JJ	fresh
roasted	VBD	roast
at	IN	at
peak	NN	peak
flavor	NN	flavor
,	,	,
like	IN	like
the	DT	the
best	RBS	well
flavored	VBN	flavor
foods	NNS	food
,	,	,
rare	JJ	rare
vintage	JJ	vintage
wine	NN	wine
,	,	,
the	DT	the
choicest	JJ	choicest
cheese	NN	cheese
,	,	,
the	DT	the
finest	JJS	fine
steak	NN	steak
.	SENT	.
The	DT	the
best	JJS	good
flavored	VBN	flavor
coffee	NN	coffee
beans	NNS	bean
are	VBP	be
aged	VBN	age
before	IN	before
roasting	NN	roasting
and	CC	and
this	DT	this
natural	JJ	natural
maturing	VBG	mature
brings	VBZ	bring
out	IN	out
all	PDT	all
their	PP$	their
richness	NN	richness
flavor	NN	flavor
and	CC	and
aroma	NN	aroma
.	SENT	.
Most	JJS	most
coffee	NN	coffee
beans	NNS	bean
are	VBP	be
roasted	VBN	roast
while	IN	while
green	NN	green
in	IN	in
color	NN	color
,	,	,
young	JJ	young
in	IN	in
flavor	NN	flavor
,	,	,
but	CC	but
Yuban	NP	Yuban
's	POS	's
aged	VBN	age
beans	NNS	bean
mellow	JJ	mellow
to	TO	to
a	DT	a
dark	JJ	dark
richness	NN	richness
,	,	,
then	RB	then
are	VBP	be
fresh	JJ	fresh
roasted	VBN	roast
at	IN	at
peak	NN	peak
flavor	NN	flavor
.	SENT	.
It	PP	it
is	VBZ	be
this	DT	this
generous	JJ	generous
supply	NN	supply
of	IN	of
aged	VBN	age
beans	NNS	bean
in	IN	in
Yuban	NP	Yuban
's	POS	's
blend	NN	blend
that	WDT	that
makes	VBZ	make
Yuban	NN	Yuban
an	DT	an
experience	NN	experience
.	SENT	.
Yuban	NP	Yuban
,	,	,
richest	JJS	rich
of	IN	of
all	DT	all
coffees	NNS	coffee
.	SENT	.
Dark	JJ	dark
,	,	,
delicious	JJ	delicious
Yuban	NN	Yuban
.	SENT	.
