Where	WRB	where
does	VBZ	do
it	PP	it
all	DT	all
start	NN	start
?	SENT	?
Sometimes	RB	sometimes
here	RB	here
with	IN	with
an	DT	an
acid	JJ	acid
stomach	NN	stomach
or	CC	or
here	RB	here
with	IN	with
tense	JJ	tense
upset	JJ	upset
digestive	JJ	digestive
nerves	NNS	nerve
.	SENT	.
It	PP	it
may	MD	may
even	RB	even
reach	VB	reach
here	RB	here
with	IN	with
that	DT	that
fuzzy	JJ	fuzzy
achy	JJ	achy
feeling	NN	feeling
in	IN	in
the	DT	the
head	NN	head
.	SENT	.
Soon	RB	soon
you	PP	you
seem	VBP	seem
to	TO	to
feel	VB	feel
sick	JJ	sick
all	RB	all
over	RB	over
.	SENT	.
It	PP	it
's	VBZ	be
the	DT	the
acid	JJ	acid
tension	NN	tension
pain	NN	pain
trouble	NN	trouble
triangle	NN	triangle
.	SENT	.
Now	RB	now
there	EX	there
's	VBZ	be
a	DT	a
new	JJ	new
medication	NN	medication
,	,	,
liquid	JJ	liquid
peptans	NNS	<unknown>
,	,	,
specially	RB	specially
developed	VBN	develop
to	TO	to
break	VB	break
the	DT	the
trouble	NN	trouble
triangle	NN	triangle
.	SENT	.
Peptans	NP	<unknown>
comes	VBZ	come
in	IN	in
fast-acting	JJ	fast-acting
liquid	JJ	liquid
form	NN	form
,	,	,
no	RB	no
waiting	VBG	wait
to	TO	to
dissolve	VB	dissolve
.	SENT	.
Peptans	NP	<unknown>
settles	VBZ	settle
acid	JJ	acid
stomach	NN	stomach
with	IN	with
an	DT	an
ingredient	NN	ingredient
that	WDT	that
neutralizes	VBZ	neutralize
excess	JJ	excess
acid	NN	acid
,	,	,
a	DT	a
cause	NN	cause
of	IN	of
your	PP$	your
trouble	NN	trouble
.	SENT	.
Peptans	NP	<unknown>
calms	VBZ	calm
digestive	JJ	digestive
nerves	NNS	nerve
with	IN	with
tension	NN	tension
soothing	VBG	soothe
ingredients	NNS	ingredient
that	WDT	that
help	VBP	help
stop	VB	stop
stomach	NN	stomach
spasms	NNS	spasm
and	CC	and
cramps	NNS	cramp
.	SENT	.
Peptans	NP	<unknown>
has	VBZ	have
a	DT	a
gentle	JJ	gentle
fast-acting	JJ	fast-acting
ingredient	NN	ingredient
that	WDT	that
helps	VBZ	help
relieve	VB	relieve
the	DT	the
achy	JJ	achy
head	NN	head
that	WDT	that
's	VBZ	be
part	NN	part
of	IN	of
your	PP$	your
distressed	JJ	distressed
feeling	NN	feeling
.	SENT	.
Peptans	NP	<unknown>
breaks	VBZ	break
the	DT	the
trouble	NN	trouble
triangle	NN	triangle
to	TO	to
help	VB	help
stop	VB	stop
your	PP$	your
sick	JJ	sick
all	RB	all
over	IN	over
feeling	NN	feeling
.	SENT	.
Break	VB	break
the	DT	the
acid	JJ	acid
tension	NN	tension
pain	NN	pain
trouble	NN	trouble
triangle	NN	triangle
.	SENT	.
Get	VB	get
new	JJ	new
liquid	JJ	liquid
peptans	NNS	<unknown>
.	SENT	.
