What	WP	what
does	VBZ	do
she	PP	she
want	VBP	want
for	IN	for
Christmas	NP	Christmas
?	SENT	?
All	PDT	all
your	PP$	your
love	NN	love
and	CC	and
all	PDT	all
the	DT	the
loveliness	NN	loveliness
to	TO	to
keep	VB	keep
it	PP	it
.	SENT	.
And	CC	and
here	RB	here
's	VBZ	be
the	DT	the
gift	NN	gift
to	TO	to
help	VB	help
her	PP	her
keep	VB	keep
that	DT	that
loveliness	NN	loveliness
,	,	,
the	DT	the
Lady	NP	Lady
Schick	NP	Schick
electric	JJ	electric
shaver	NN	shaver
designed	VBN	design
just	RB	just
for	IN	for
a	DT	a
woman	NN	woman
with	IN	with
one	CD	one
side	NN	side
for	IN	for
underarms	NNS	<unknown>
for	IN	for
shave	NN	shave
so	IN	so
close	NN	close
but	CC	but
so	RB	so
gentle	JJ	gentle
a	DT	a
deodorant	NN	deodorant
can	MD	can
be	VB	be
used	VBN	use
immediately	RB	immediately
and	CC	and
the	DT	the
other	JJ	other
side	NN	side
made	VBD	make
especially	RB	especially
for	IN	for
legs	NNS	leg
.	SENT	.
Nothing	NN	nothing
she	PP	she
could	MD	could
use	VB	use
is	VBZ	be
more	RBR	more
feminine	JJ	feminine
.	SENT	.
Why	WRB	why
her	PP$	her
skin	NN	skin
will	MD	will
stay	VB	stay
so	RB	so
smooth	VB	smooth
no	DT	no
one	CD	one
would	MD	would
ever	RB	ever
guess	VB	guess
she	PP	she
shaved	VBD	shave
.	SENT	.
Most	JJS	most
stores	NNS	store
offer	VBP	offer
a	DT	a
14-day	JJ	<unknown>
free	JJ	free
home	NN	home
trial	NN	trial
starting	VBG	start
Christmas	NP	Christmas
Day	NP	Day
so	RB	so
take	VB	take
your	PP$	your
pick	NN	pick
from	IN	from
new	JJ	new
designs	NNS	design
like	IN	like
this	DT	this
one	CD	one
in	IN	in
blue	JJ	blue
and	CC	and
white	JJ	white
or	CC	or
ballerina	NN	ballerina
sparkling	JJ	sparkling
white	NN	white
and	CC	and
gold	NN	gold
or	CC	or
this	DT	this
in	IN	in
red	JJ	red
and	CC	and
old	JJ	old
gold	NN	gold
or	CC	or
sophisticate	VB	sophisticate
jet	NN	jet
black	JJ	black
and	CC	and
sapphire	JJ	sapphire
blue	NN	blue
.	SENT	.
Get	VB	get
her	PP	her
a	DT	a
Lady	NP	Lady
Schick	NP	Schick
this	DT	this
Christmas	NP	Christmas
in	IN	in
this	DT	this
delightful	JJ	delightful
hat	NN	hat
box	NN	box
carrying	VBG	carry
case	NN	case
.	SENT	.
She	PP	she
'll	MD	will
love	VB	love
it	PP	it
and	CC	and
love	VB	love
you	PP	you
for	IN	for
giving	VBG	give
it	PP	it
to	TO	to
her	PP	her
.	SENT	.
you	PP	you
