Hey	UH	hey
,	,	,
have	VBP	have
you	PP	you
heard	VBN	hear
about	IN	about
the	DT	the
crazy	JJ	crazy
new	JJ	new
way	NN	way
to	TO	to
send	VB	send
a	DT	a
message	NN	message
today	NN	today
?	SENT	?
It	PP	it
's	VBZ	be
flashed	VBN	flash
on	IN	on
a	DT	a
screen	NN	screen
,	,	,
too	RB	too
quick	JJ	quick
to	TO	to
see	VB	see
,	,	,
but	CC	but
still	RB	still
you	PP	you
get	VBP	get
it	PP	it
subliminally	RB	subliminally
.	SENT	.
Put	VBN	put
on	IN	on
your	PP$	your
specs	NNS	spec
,	,	,
pull	VB	pull
up	RP	up
your	PP$	your
chair	NN	chair
,	,	,
and	CC	and
see	VB	see
if	IN	if
you	PP	you
can	MD	can
see	VB	see
what	WP	what
's	VBZ	be
coming	VBG	come
through	IN	through
the	DT	the
air	NN	air
.	SENT	.
Ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
,	,	,
the	DT	the
59	CD	@card@
Chevy	NP	Chevy
.	SENT	.
See	VB	see
it	PP	it
?	SENT	?
Is	VBZ	be
n't	RB	n't
it	PP	it
beautiful	JJ	beautiful
?	SENT	?
Some	DT	some
car	NN	car
,	,	,
huh	NP	Huh
,	,	,
folks	NNS	folk
?	SENT	?
That	DT	that
was	VBD	be
the	DT	the
59	CD	@card@
Chevy	NP	Chevy
just	RB	just
then	RB	then
.	SENT	.
All	DT	all
new	JJ	new
,	,	,
all	RB	all
over	IN	over
again	RB	again
.	SENT	.
In	IN	in
case	NN	case
you	PP	you
missed	VBD	miss
it	PP	it
going	VBG	go
by	IN	by
.	SENT	.
We	PP	we
're	VBP	be
gonna	VBG	gonna
give	VB	give
you	PP	you
one	CD	one
another	DT	another
try	NN	try
.	SENT	.
See	VB	see
it	PP	it
?	SENT	?
Now	RB	now
,	,	,
I	PP	I
bet	VBP	bet
you	PP	you
've	VBP	have
seen	VBN	see
the	DT	the
new	JJ	new
Chevrolet	NN	Chevrolet
.	SENT	.
In	IN	in
a	DT	a
somewhat	RB	somewhat
subliminal	JJ	subliminal
way	NN	way
.	SENT	.
We	PP	we
hope	VBP	hope
that	IN	that
you	PP	you
'll	MD	will
place	VB	place
your	PP$	your
order	NN	order
right	RB	right
now	RB	now
for	IN	for
the	DT	the
59	CD	@card@
Chevy	NP	Chevy
.	SENT	.
Here	RB	here
's	VBZ	be
how	WRB	how
.	SENT	.
Just	RB	just
go	VB	go
see	VB	see
your	PP$	your
Chevrolet	NP	Chevrolet
dealer	NN	dealer
right	NN	right
now	RB	now
.	SENT	.
The	DT	the
59	CD	@card@
Chevy	NP	Chevy
's	VBZ	be
due	JJ	due
out	IN	out
Thursday	NP	Thursday
,	,	,
October	NP	October
16th	JJ	16th
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
get	VB	get
the	DT	the
details	NNS	detail
and	CC	and
place	VB	place
your	PP$	your
order	NN	order
in	IN	in
advance	NN	advance
.	SENT	.
So	RB	so
come	VBN	come
right	RB	right
in	IN	in
.	SENT	.
And	CC	and
right	RB	right
away	RB	away
to	TO	to
your	PP$	your
Chevrolet	NP	Chevrolet
dealer	NN	dealer
.	SENT	.
For	IN	for
Chevrolet	NP	Chevrolet
.	SENT	.
See	VB	see
it	PP	it
?	SENT	?
See	VB	see
it	PP	it
?	SENT	?
See	VB	see
it	PP	it
?	SENT	?
See	VB	see
it	PP	it
?	SENT	?
See	VB	see
it	PP	it
?	SENT	?
See	VB	see
it	PP	it
?	SENT	?
