Hello	UH	hello
there	RB	there
.	SENT	.
Friends	NNS	friend
,	,	,
here	RB	here
's	VBZ	be
an	DT	an
amazing	JJ	amazing
free	JJ	free
offer	NN	offer
for	IN	for
everyone	NN	everyone
who	WP	who
's	VBZ	be
overweight	JJ	overweight
.	SENT	.
Even	RB	even
though	IN	though
you	PP	you
've	VBP	have
tried	VBN	try
other	JJ	other
methods	NNS	method
and	CC	and
failed	VBD	fail
,	,	,
you	PP	you
can	MD	can
still	RB	still
lose	VB	lose
ugly	JJ	ugly
fat	NN	fat
fast	RB	fast
.	SENT	.
Now	RB	now
thousands	NNS	thousand
can	MD	can
tell	VB	tell
you	PP	you
that	IN	that
the	DT	the
calimetric	JJ	calimetric
reducing	VBG	reduce
formula	NN	formula
is	VBZ	be
the	DT	the
only	RB	only
safe	JJ	safe
,	,	,
sure	JJ	sure
,	,	,
effective	JJ	effective
way	NN	way
to	TO	to
reduce	VB	reduce
.	SENT	.
This	DT	this
package	NN	package
includes	VBZ	include
the	DT	the
wonder	NN	wonder
10-day	JJ	10-day
diet	NN	diet
that	WDT	that
lets	VBZ	let
you	PP	you
eat	VB	eat
three	CD	three
delicious	JJ	delicious
meals	NNS	meal
a	DT	a
day	NN	day
,	,	,
plus	CC	plus
a	DT	a
bedtime	NN	bedtime
snack	NN	snack
,	,	,
and	CC	and
even	RB	even
includes	VBZ	include
a	DT	a
jog	NN	jog
for	IN	for
your	PP$	your
willpower	NN	willpower
.	SENT	.
And	CC	and
yet	RB	yet
you	PP	you
take	VBP	take
only	RB	only
three	CD	three
calimetric	JJ	calimetric
tablets	NNS	tablet
per	IN	per
day	NN	day
.	SENT	.
And	CC	and
now	RB	now
here	RB	here
's	VBZ	be
that	IN	that
sensational	JJ	sensational
free	JJ	free
offer	NN	offer
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
about	RB	about
.	SENT	.
A	DT	a
30-day	JJ	30-day
supply	NN	supply
of	IN	of
wonderful	JJ	wonderful
calimetric	JJ	calimetric
tablets	NNS	tablet
,	,	,
a	DT	a
certified	JJ	certified
$3.50	NN	<unknown>
value	NN	value
,	,	,
when	WRB	when
you	PP	you
buy	VBP	buy
the	DT	the
regular	JJ	regular
calimetric	JJ	calimetric
way	NN	way
to	TO	to
weight	VB	weight
control	NN	control
.	SENT	.
You	PP	you
save	VBP	save
$3.50	NN	<unknown>
.	SENT	.
That	DT	that
's	VBZ	be
a	DT	a
$7	JJ	<unknown>
value	NN	value
for	IN	for
only	JJ	only
$3.50	NN	<unknown>
,	,	,
a	DT	a
50	CD	@card@
%	NN	%
saving	NN	saving
.	SENT	.
And	CC	and
how	WRB	how
can	MD	can
you	PP	you
get	VB	get
your	PP$	your
free	JJ	free
bottle	NN	bottle
of	IN	of
calimetric	JJ	calimetric
tablets	NNS	tablet
?	SENT	?
Just	RB	just
send	VB	send
in	IN	in
this	DT	this
calimetric	JJ	calimetric
box	NN	box
top	NN	top
with	IN	with
your	PP$	your
name	NN	name
and	CC	and
address	NN	address
,	,	,
and	CC	and
your	PP$	your
druggist	NN	druggist
will	MD	will
give	VB	give
you	PP	you
a	DT	a
postage	NN	postage
paid	VBD	pay
envelope	NN	envelope
already	RB	already
addressed	VBD	address
to	TO	to
the	DT	the
calimetric	JJ	calimetric
company	NN	company
.	SENT	.
So	RB	so
do	VBP	do
n't	RB	n't
lose	VB	lose
hope	NN	hope
,	,	,
lose	VB	lose
weight	NN	weight
.	SENT	.
Get	VB	get
calimetric	JJ	calimetric
reducing	VBG	reduce
formula	NN	formula
at	IN	at
your	PP$	your
drugstore	NN	drugstore
.	SENT	.
Send	VB	send
the	DT	the
box	NN	box
top	NN	top
in	IN	in
the	DT	the
free	JJ	free
post	NN	post
page	NN	page
envelope	NN	envelope
,	,	,
and	CC	and
get	VB	get
your	PP$	your
$3.50	JJ	<unknown>
bottle	NN	bottle
of	IN	of
calimetric	JJ	calimetric
tablets	NNS	tablet
absolutely	RB	absolutely
free	JJ	free
.	SENT	.
Friends	NNS	friend
,	,	,
believe	VBP	believe
me	PP	me
when	WRB	when
I	PP	I
say	VBP	say
do	VB	do
n't	RB	n't
wait	VB	wait
.	SENT	.
Act	NP	Act
right	RB	right
now	RB	now
.	SENT	.
