How	WRB	how
does	VBZ	do
the	DT	the
happiness	NN	happiness
of	IN	of
this	DT	this
family	NN	family
show	VB	show
you	PP	you
that	IN	that
mum	JJ	mum
uses	NNS	use
Rinse-O	NP	<unknown>
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
's	VBZ	be
natural	JJ	natural
,	,	,
is	VBZ	be
n't	RB	n't
it	PP	it
,	,	,
that	IN	that
people	NNS	people
who	WP	who
are	VBP	be
dressed	VBN	dress
in	IN	in
bright	JJ	bright
,	,	,
clean	JJ	clean
things	NNS	thing
feel	VBP	feel
bright	JJ	bright
and	CC	and
gay	JJ	gay
.	SENT	.
Even	RB	even
if	IN	if
you	PP	you
did	VBD	do
n't	RB	n't
know	VB	know
that	DT	that
tablecloth	NN	tablecloth
was	VBD	be
Rinse-O	NP	<unknown>
washed	VBN	wash
,	,	,
you	PP	you
could	MD	could
bet	VB	bet
that	IN	that
the	DT	the
sight	NN	sight
of	IN	of
it	PP	it
looking	VBG	look
so	RB	so
crisp	JJ	crisp
and	CC	and
bright	JJ	bright
would	MD	would
make	VB	make
any	DT	any
woman	NN	woman
feel	VBP	feel
proud	JJ	proud
and	CC	and
happy	JJ	happy
.	SENT	.
Yes	UH	yes
,	,	,
there	EX	there
's	VBZ	be
something	NN	something
about	IN	about
the	DT	the
bright	JJ	bright
,	,	,
happy	JJ	happy
look	NN	look
of	IN	of
this	DT	this
whole	JJ	whole
family	NN	family
that	WDT	that
makes	VBZ	make
people	NNS	people
stop	VB	stop
,	,	,
look	VB	look
,	,	,
and	CC	and
admire	VB	admire
.	SENT	.
Admiring	VBG	admire
their	PP$	their
happiness	NN	happiness
,	,	,
their	PP$	their
bright	JJ	bright
,	,	,
clean	JJ	clean
look	NN	look
.	SENT	.
A	DT	a
tribute	NN	tribute
to	TO	to
mother	NN	mother
who	WP	who
knows	VBZ	know
nothing	NN	nothing
beats	VBZ	beat
New	NP	New
Rinse-O	NP	<unknown>
's	POS	's
richer	JJR	rich
,	,	,
softer	JJR	soft
suds	NN	suds
.	SENT	.
Here	RB	here
's	VBZ	be
New	NP	New
Rinse-O	NP	<unknown>
.	SENT	.
New	NP	New
Rinse-O	NP	<unknown>
's	POS	's
richer	JJR	rich
,	,	,
softer	JJR	soft
suds	NN	suds
with	IN	with
extra	JJ	extra
cleaning	NN	cleaning
action	NN	action
.	SENT	.
Here	RB	here
's	VBZ	be
extra	JJ	extra
brightness	NN	brightness
.	SENT	.
Extra	JJ	extra
brightness	NN	brightness
.	SENT	.
Extra	JJ	extra
satisfaction	NN	satisfaction
.	SENT	.
Bye	NP	Bye
.	SENT	.
New	NP	New
Rinse-O	NP	<unknown>
.	SENT	.
