Earlier	RBR	earlier
in	IN	in
the	DT	the
show	NN	show
,	,	,
we	PP	we
mentioned	VBD	mention
price	NN	price
reductions	NNS	reduction
on	IN	on
Brownie	NP	Brownie
movie	NN	movie
cameras	NNS	camera
.	SENT	.
That	DT	that
covers	VBZ	cover
the	DT	the
Brownie	NP	Brownie
turret	NN	turret
cameras	NNS	camera
,	,	,
too	RB	too
.	SENT	.
And	CC	and
now	RB	now
here	RB	here
's	VBZ	be
Ozzie	NP	Ozzie
to	TO	to
show	VB	show
you	PP	you
how	WRB	how
they	PP	they
work	VBP	work
.	SENT	.
Well	RB	well
,	,	,
here	RB	here
's	VBZ	be
the	DT	the
Brownie	NP	Brownie
turret	NN	turret
I	PP	I
use	VBP	use
,	,	,
and	CC	and
I	PP	I
can	MD	can
get	VB	get
three	CD	three
different	JJ	different
kinds	NNS	kind
of	IN	of
movie	NN	movie
shots	NNS	shot
with	IN	with
it	PP	it
.	SENT	.
One	CD	one
lens	NN	lens
gives	VBZ	give
you	PP	you
big	JJ	big
telephoto	NN	telephoto
close-ups	NNS	close-up
.	SENT	.
This	DT	this
is	VBZ	be
for	IN	for
your	PP$	your
medium	JJ	medium
shots	NNS	shot
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
want	VBP	want
a	DT	a
beautiful	JJ	beautiful
wide-angle	NN	wide-angle
shot	NN	shot
,	,	,
use	VBP	use
this	DT	this
lens	NN	lens
.	SENT	.
Now	RB	now
watch	VB	watch
.	SENT	.
This	DT	this
is	VBZ	be
my	PP$	my
wide-angle	NN	wide-angle
shot	NN	shot
.	SENT	.
Kids	NNS	kid
are	VBP	be
pretty	RB	pretty
good	JJ	good
,	,	,
are	VBP	be
n't	RB	n't
they	PP	they
?	SENT	?
Now	RB	now
I	PP	I
turn	VBP	turn
the	DT	the
turret	NN	turret
,	,	,
and	CC	and
here	RB	here
's	VBZ	be
my	PP$	my
medium	JJ	medium
shot	NN	shot
.	SENT	.
Another	DT	another
turn	NN	turn
,	,	,
and	CC	and
here	RB	here
's	VBZ	be
my	PP$	my
close-up	NN	close-up
.	SENT	.
And	CC	and
I	PP	I
did	VBD	do
n't	RB	n't
have	VB	have
to	TO	to
move	VB	move
a	DT	a
step	NN	step
.	SENT	.
See	VB	see
,	,	,
what	WP	what
could	MD	could
be	VB	be
easier	JJR	easy
?	SENT	?
Thank	VB	thank
you	PP	you
,	,	,
Ozzie	NP	Ozzie
.	SENT	.
Now	RB	now
,	,	,
about	IN	about
those	DT	those
prices	NNS	price
.	SENT	.
Now	RB	now
you	PP	you
can	MD	can
get	VB	get
a	DT	a
brand-new	JJ	brand-new
Brownie	NP	Brownie
turret	NN	turret
movie	NN	movie
camera	NN	camera
for	IN	for
just	RB	just
$59.50	JJ	$@card@
,	,	,
or	CC	or
as	RB	as
little	JJ	little
as	IN	as
$6	NN	<unknown>
down	RB	down
.	SENT	.
That	DT	that
's	VBZ	be
right	JJ	right
,	,	,
for	IN	for
just	RB	just
$6	JJ	<unknown>
.	SENT	.
With	IN	with
$6	NN	<unknown>
down	RB	down
,	,	,
you	PP	you
can	MD	can
make	VB	make
home	NN	home
movies	NNS	movie
with	IN	with
a	DT	a
real	JJ	real
professional	JJ	professional
touch	NN	touch
.	SENT	.
So	RB	so
,	,	,
see	VB	see
your	PP$	your
Kodak	NP	Kodak
dealer	NN	dealer
this	DT	this
week	NN	week
.	SENT	.
