There	EX	there
's	VBZ	be
a	DT	a
spirit	NN	spirit
that	WDT	that
lives	VBZ	live
on	IN	on
in	IN	in
this	DT	this
bottle	NN	bottle
.	SENT	.
The	DT	the
spirit	NN	spirit
that	WDT	that
was	VBD	be
born	VBN	bear
in	IN	in
the	DT	the
original	JJ	original
Pabst	NP	Pabst
Blue	NP	Blue
Ribbon	NN	ribbon
beer	NN	beer
.	SENT	.
The	DT	the
beer	NN	beer
that	WDT	that
was	VBD	be
selected	VBN	select
America	NP	America
's	POS	's
Best	JJS	good
.	SENT	.
That	DT	that
's	VBZ	be
the	DT	the
spirit	NN	spirit
that	WDT	that
goes	VBZ	go
into	IN	into
brewing	VBG	brew
every	DT	every
glass	NN	glass
of	IN	of
Pabst	NP	Pabst
Blue	NP	Blue
Ribbon	NN	ribbon
today	NN	today
.	SENT	.
That	DT	that
's	VBZ	be
what	WP	what
makes	VBZ	make
us	PP	us
proud	JJ	proud
to	TO	to
say	VB	say
to	TO	to
you	PP	you
...	:	...
Give	VB	give
that	WDT	that
man	NN	man
a	DT	a
Blue	JJ	blue
Ribbon	NN	ribbon
.	SENT	.
Thank	VB	thank
you	PP	you
for	IN	for
watching	VBG	watch
.	SENT	.
