According	VBG	accord
to	TO	to
legend	NN	legend
,	,	,
little	JJ	little
folk	NN	folk
know	VBP	know
,	,	,
Hills	NP	Hills
is	VBZ	be
where	WRB	where
the	DT	the
toys	NNS	toy
are	VBP	be
.	SENT	.
Me	PP	me
afraid	JJ	afraid
of	IN	of
ghosts	NNS	ghost
,	,	,
not	RB	not
with	IN	with
my	PP$	my
proton	NN	proton
gut	NN	gut
,	,	,
wham	NN	wham
,	,	,
wham	NN	wham
.	SENT	.
I	PP	I
capture	VBP	capture
pesky	JJ	pesky
ghosts	NNS	ghost
with	IN	with
this	DT	this
ghost	NN	ghost
trap	NN	trap
,	,	,
from	IN	from
Blastin	NP	Blastin
'	POS	'
Em	NP	Em
,	,	,
the	DT	the
Ecto	NP	<unknown>
Popper	NP	Popper
and	CC	and
Goggles	NNS	goggle
.	SENT	.
For	IN	for
a	DT	a
little	JJ	little
help	NN	help
,	,	,
I	PP	I
call	VBP	call
these	DT	these
heroes	NNS	hero
,	,	,
all	RB	all
from	IN	from
Kenner	NP	Kenner
.	SENT	.
Hills	NP	Hills
is	VBZ	be
my	PP$	my
kind	NN	kind
of	IN	of
place	NN	place
,	,	,
because	RB	because
,	,	,
Hills	NP	Hills
is	VBZ	be
where	WRB	where
the	DT	the
toys	NNS	toy
are	VBP	be
.	SENT	.
At	IN	at
low	JJ	low
prices	NNS	price
,	,	,
every	DT	every
day	NN	day
.	SENT	.
