What	WP	what
are	VBP	be
you	PP	you
gonna	VBG	gonna
do	VBP	do
with	IN	with
those	DT	those
lemons	NNS	lemon
?	SENT	?
Squeeze	VB	squeeze
them	PP	them
into	IN	into
my	PP$	my
dish	NN	dish
water	NN	water
.	SENT	.
I	PP	I
'm	VBP	be
hoping	VBG	hope
they	PP	they
'll	MD	will
help	VB	help
clean	VB	clean
this	DT	this
mess	NN	mess
.	SENT	.
But	CC	but
why	WRB	why
squeeze	NN	squeeze
lemons	NNS	lemon
for	IN	for
clean	JJ	clean
dishes	NNS	dish
?	SENT	?
Squeeze	VB	squeeze
Lemon	NP	Lemon
Fresh	NP	Fresh
Joy	NP	Joy
.	SENT	.
Mmm	NP	Mmm
,	,	,
smells	VBZ	smell
lemony	JJ	lemony
.	SENT	.
And	CC	and
for	IN	for
a	DT	a
Lemon	NP	Lemon
Fresh	NP	Fresh
Clean	NP	Clean
,	,	,
all	DT	all
Joy	NP	Joy
's	POS	's
thick	JJ	thick
suds	NN	suds
clean	VB	clean
down	RP	down
to	TO	to
the	DT	the
shine	NN	shine
.	SENT	.
That	DT	that
's	VBZ	be
beautiful	JJ	beautiful
.	SENT	.
They	PP	they
're	VBP	be
so	RB	so
clean	JJ	clean
,	,	,
they	PP	they
shine	VBP	shine
.	SENT	.
And	CC	and
all	RB	all
it	PP	it
took	VBD	take
was	VBD	be
a	DT	a
little	JJ	little
squeeze	NN	squeeze
.	SENT	.
Try	VB	try
Lemon	NP	Lemon
Fresh	NP	Fresh
Joy	NP	Joy
for	IN	for
a	DT	a
Lemon	NP	Lemon
Fresh	NP	Fresh
Clean	NP	Clean
that	IN	that
shines	NNS	shine
.	SENT	.
