Introducing	VBG	introduce
new	JJ	new
Zestier	JJR	zesty
Hamburger	NP	Hamburger
Helper	NP	Helper
Lasagna	NN	lasagna
.	SENT	.
First	RB	first
a	DT	a
savory	JJ	savory
sausage	NN	sausage
seasoning	NN	seasoning
that	WDT	that
's	VBZ	be
a	DT	a
more	RBR	more
Italian	JJ	Italian
touch	NN	touch
.	SENT	.
Now	RB	now
we	PP	we
add	VBP	add
some	DT	some
more	JJR	more
spice	NN	spice
so	IN	so
it	PP	it
's	VBZ	be
zesty	JJ	zesty
and	CC	and
nice	JJ	nice
with	IN	with
a	DT	a
taste	NN	taste
you	PP	you
love	VBP	love
so	RB	so
much	RB	much
.	SENT	.
Our	PP$	our
rich	JJ	rich
tomato	NN	tomato
sauce	NN	sauce
makes	VBZ	make
a	DT	a
hearty	JJ	hearty
meal	NN	meal
for	IN	for
you	PP	you
.	SENT	.
Served	VBN	serve
on	IN	on
noodles	NNS	noodle
so	RB	so
curly	JJ	curly
you	PP	you
'll	MD	will
know	VB	know
that	IN	that
it	PP	it
's	VBZ	be
surely	RB	surely
lasagna	NN	lasagna
through	IN	through
and	CC	and
through	IN	through
.	SENT	.
Our	PP$	our
new	JJ	new
lasagna	NN	lasagna
turns	VBZ	turn
your	PP$	your
plain	JJ	plain
hamburger	NN	hamburger
into	IN	into
a	DT	a
real	JJ	real
Italian	JJ	Italian
meal	NN	meal
that	WDT	that
's	VBZ	be
more	RBR	more
delicious	JJ	delicious
than	IN	than
ever	RB	ever
.	SENT	.
Hamburger	NP	Hamburger
Helper	NP	Helper
,	,	,
Helper	NP	Helper
,	,	,
Hamburger	NP	Hamburger
Helper	NP	Helper
,	,	,
make	VBP	make
a	DT	a
great	JJ	great
meal	NN	meal
.	SENT	.
