Hi	UH	hi
,	,	,
I	PP	I
'm	VBP	be
Jakob	NP	Jakob
Smirnoff	NP	Smirnoff
for	IN	for
Best	JJS	good
Western	JJ	Western
.	SENT	.
When	WRB	when
I	PP	I
used	VBD	use
to	TO	to
check	VB	check
into	IN	into
other	JJ	other
hotels	NNS	hotel
,	,	,
I	PP	I
always	RB	always
had	VBD	have
reservations	NNS	reservation
.	SENT	.
But	CC	but
I	PP	I
'd	MD	will
stay	VB	stay
there	RB	there
anyway	RB	anyway
.	SENT	.
Now	RB	now
with	IN	with
Best	JJS	good
Western	JJ	Western
,	,	,
I	PP	I
have	VBP	have
so	RB	so
many	JJ	many
different	JJ	different
choices	NNS	choice
.	SENT	.
I	PP	I
can	MD	can
always	RB	always
get	VB	get
and	CC	and
pay	VB	pay
for	IN	for
only	RB	only
what	WP	what
I	PP	I
need	VBP	need
.	SENT	.
Like	IN	like
,	,	,
they	PP	they
just	RB	just
ask	VB	ask
me	PP	me
in	IN	in
my	PP$	my
room	NN	room
,	,	,
would	MD	would
I	PP	I
like	VB	like
a	DT	a
king	NN	king
or	CC	or
a	DT	a
queen	NN	queen
?	SENT	?
What	WP	what
a	DT	a
country	NN	country
!	SENT	!
I	PP	I
'm	VBP	be
sure	JJ	sure
they	PP	they
're	VBP	be
very	RB	very
nice	JJ	nice
people	NNS	people
,	,	,
but	CC	but
I	PP	I
'd	MD	will
rather	RB	rather
have	VB	have
my	PP$	my
own	JJ	own
room	NN	room
.	SENT	.
