When	WRB	when
you	PP	you
are	VBP	be
just	RB	just
a	DT	a
pup	NN	pup
,	,	,
I	PP	I
never	RB	never
thought	VBD	think
that	IN	that
you	PP	you
'd	MD	will
grow	VB	grow
up	RP	up
,	,	,
but	CC	but
we	PP	we
'll	MD	will
always	RB	always
be	VB	be
together	RB	together
,	,	,
forever	RB	forever
side	NN	side
by	IN	by
side	NN	side
,	,	,
my	PP$	my
best	JJS	good
friend	NN	friend
,	,	,
as	IN	as
time	NN	time
goes	VBZ	go
by	IN	by
.	SENT	.
Kodacolor	NP	Kodacolor
VR200	NP	<unknown>
film	NN	film
,	,	,
so	RB	so
versatile	JJ	versatile
it	PP	it
captures	VBZ	capture
life	NN	life
's	POS	's
little	JJ	little
changes	NNS	change
in	IN	in
shifting	VBG	shift
light	NN	light
or	CC	or
with	IN	with
sudden	JJ	sudden
movement	NN	movement
.	SENT	.
Kodak	NP	Kodak
film	NN	film
,	,	,
because	IN	because
time	NN	time
goes	VBZ	go
by	IN	by
.	SENT	.
