When	WRB	when
you	PP	you
give	VBP	give
someone	NN	someone
a	DT	a
gift	NN	gift
pack	NN	pack
from	IN	from
Hickory	NP	Hickory
Farms	VBZ	farm
this	DT	this
Christmas	NP	Christmas
,	,	,
you	PP	you
're	VBP	be
giving	VBG	give
them	PP	them
the	DT	the
world	NN	world
.	SENT	.
Because	IN	because
we	PP	we
go	VBP	go
to	TO	to
Nebraska	NP	Nebraska
and	CC	and
Iowa	NP	Iowa
for	IN	for
our	PP$	our
award-winning	JJ	award-winning
beef	NN	beef
stick	NN	stick
.	SENT	.
Winstead	NP	Winstead
,	,	,
Minnesota	NP	Minnesota
for	IN	for
Uncle	NP	Uncle
Walt	NP	Walt
's	POS	's
cheddar	NN	Cheddar
.	SENT	.
Virginia	NP	Virginia
for	IN	for
our	PP$	our
sparkling	JJ	sparkling
apple	NN	apple
shine	NN	shine
cider	NN	cider
.	SENT	.
And	CC	and
San	NP	San
Francisco	NP	Francisco
for	IN	for
delicious	JJ	delicious
candies	NNS	candy
.	SENT	.
We	PP	we
search	VBP	search
the	DT	the
world	NN	world
to	TO	to
find	VB	find
unique	JJ	unique
foods	NNS	food
for	IN	for
our	PP$	our
Christmas	NP	Christmas
gift	NN	gift
packs	NNS	pack
.	SENT	.
So	RB	so
come	VBN	come
to	TO	to
Hickory	NP	Hickory
Farms	NNS	farm
.	SENT	.
We	PP	we
'd	MD	will
like	VB	like
to	TO	to
put	VB	put
one	CD	one
together	RB	together
for	IN	for
you	PP	you
.	SENT	.
