Feel	VB	feel
it	PP	it
in	IN	in
the	DT	the
air	NN	air
,	,	,
elation	NN	elation
A	DT	a
brand	NN	brand
new	JJ	new
fragrance	NN	fragrance
from	IN	from
Impulse	NN	impulse
Excitement	NN	excitement
everywhere	RB	everywhere
,	,	,
elation	NN	elation
,	,	,
elation	NN	elation
If	IN	if
a	DT	a
man	NN	man
you	PP	you
've	VBP	have
never	RB	never
met	VBN	meet
before	RB	before
suddenly	RB	suddenly
gives	VBZ	give
you	PP	you
flowers	VBZ	flower
,	,	,
that	WDT	that
's	VBZ	be
elation	NN	elation
The	DT	the
exciting	JJ	exciting
new	JJ	new
fragrance	NN	fragrance
from	IN	from
Impulse	NN	impulse
Elation	NN	elation
