Three	CD	three
guys	NNS	guy
discount	JJ	discount
plumbing	NN	plumbing
any	DT	any
pipe	NN	pipe
any	DT	any
place	NN	place
any	DT	any
price	NN	price
for	IN	for
clogs	NNS	clog
at	IN	at
their	PP$	their
worst	JJS	bad
it	PP	it
's	VBZ	be
for	IN	for
you	PP	you
liquid	JJ	liquid
plumber	NN	plumber
is	VBZ	be
the	DT	the
plumber	NN	plumber
to	TO	to
call	VB	call
first	RB	first
no	DT	no
other	JJ	other
drain	NN	drain
opener	NN	opener
cuts	NNS	cut
through	IN	through
standing	VBG	stand
water	NN	water
to	TO	to
clear	VB	clear
out	RP	out
tough	JJ	tough
hair	NN	hair
clogs	VBZ	clog
better	RBR	well
than	IN	than
liquid	JJ	liquid
plumber	NN	plumber
for	IN	for
hair	NN	hair
clogs	NNS	clog
at	IN	at
their	PP$	their
worst	JJS	bad
liquid	JJ	liquid
plumber	NN	plumber
is	VBZ	be
the	DT	the
plumber	NN	plumber
to	TO	to
call	VB	call
first	JJ	first
