Where	WRB	where
's	VBZ	be
your	PP$	your
spell	NN	spell
checker	NN	checker
?	SENT	?
Right	RB	right
here	RB	here
.	SENT	.
But	CC	but
I	PP	I
need	VBP	need
it	PP	it
back	RB	back
.	SENT	.
Today	NN	today
?	SENT	?
Right	RB	right
.	SENT	.
Texas	NP	Texas
Instruments	NP	Instruments
'	POS	'
new	JJ	new
Spell	NP	Spell
Checker	NN	checker
.	SENT	.
Enter	VB	enter
a	DT	a
word	NN	word
the	DT	the
way	NN	way
it	PP	it
sounds	VBZ	sound
and	CC	and
get	VB	get
the	DT	the
correct	JJ	correct
spelling	NN	spelling
.	SENT	.
There	EX	there
's	VBZ	be
even	RB	even
a	DT	a
key	NN	key
for	IN	for
word	NN	word
endings	NNS	ending
.	SENT	.
My	PP$	my
turn	NN	turn
.	SENT	.
Oh	UH	oh
,	,	,
what	WP	what
's	VBZ	be
the	DT	the
word	NN	word
?	SENT	?
You	PP	you
'll	MD	will
laugh	VB	laugh
.	SENT	.
Well	RB	well
,	,	,
use	VBP	use
the	DT	the
dictionary	NN	dictionary
.	SENT	.
It	PP	it
takes	VBZ	take
too	RB	too
long	RB	long
.	SENT	.
Sure	NP	Sure
does	VBZ	do
.	SENT	.
They	PP	they
sell	VBP	sell
these	DT	these
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
New	NP	New
Spell	NP	Spell
Checker	NN	checker
from	IN	from
Texas	NP	Texas
Instruments	NPS	Instruments
.	SENT	.
Fast	RB	fast
,	,	,
easy	JJ	easy
spelling	NN	spelling
for	IN	for
office	NN	office
and	CC	and
home	NN	home
.	SENT	.
My	PP$	my
daughter	NN	daughter
needs	VBZ	need
it	PP	it
at	IN	at
home	NN	home
.	SENT	.
You	PP	you
do	VBP	do
n't	RB	n't
have	VB	have
a	DT	a
daughter	NN	daughter
.	SENT	.
