There	EX	there
's	VBZ	be
a	DT	a
cold	JJ	cold
wind	NN	wind
blowin	NN	<unknown>
'	POS	'
downtown	JJ	downtown
tonight	NN	tonight
Though	IN	though
you	PP	you
've	VBP	have
left	VBN	leave
me	PP	me
hangin	JJ	<unknown>
'	''	'
tough	JJ	tough
I	PP	I
got	VBD	get
to	TO	to
keep	VB	keep
my	PP$	my
courage	NN	courage
up	IN	up
Nobody	NN	nobody
gonna	VBG	gonna
see	VB	see
what	WP	what
I	PP	I
'm	VBP	be
goin	NN	<unknown>
'	''	'
through	IN	through
I	PP	I
'm	VBP	be
gonna	VBG	gonna
look	NN	look
good	JJ	good
in	IN	in
blue	JJ	blue
501	CD	@card@
News	NN	news
501	CD	@card@
News	NP	News
