And	CC	and
now	RB	now
,	,	,
on	IN	on
with	IN	with
the	DT	the
opera	NN	opera
.	SENT	.
Aaaaaaah	NP	<unknown>
!	SENT	!
Aaaaaaah	NP	<unknown>
!	SENT	!
Aaaaaaah	NP	<unknown>
!	SENT	!
Aaaaaaah	NP	<unknown>
!	SENT	!
Aaaaaaah	NP	<unknown>
!	SENT	!
Aaaaaaah	NP	<unknown>
!	SENT	!
Aaaaaaah	NP	<unknown>
!	SENT	!
Aaaaaaah	NP	<unknown>
!	SENT	!
Aaaaaaah	NP	<unknown>
!	SENT	!
Aaaaaaah	NP	<unknown>
!	SENT	!
From	IN	from
the	DT	the
people	NNS	people
who	WP	who
brought	VBD	bring
you	PP	you
big-screen	NN	big-screen
television	NN	television
comes	VBZ	come
the	DT	the
sound	NN	sound
to	TO	to
go	VB	go
with	IN	with
it	PP	it
.	SENT	.
Frankly	RB	frankly
,	,	,
my	PP$	my
dear	NN	dear
,	,	,
I	PP	I
do	VBP	do
n't	RB	n't
give	VB	give
a	DT	a
...	:	...
Mitsubishi	NP	Mitsubishi
Home	NP	Home
Theater	NP	Theater
Systems	NPS	Systems
.	SENT	.
Now	RB	now
playing	VBG	play
at	IN	at
a	DT	a
dealer	NN	dealer
near	IN	near
you	PP	you
.	SENT	.
Rosebud	NP	Rosebud
.	SENT	.
