Do	VBP	do
n't	RB	n't
forget	VB	forget
to	TO	to
rinse	VB	rinse
those	DT	those
dishes	NNS	dish
first	JJ	first
.	SENT	.
That	DT	that
'll	MD	will
take	VB	take
forever	RB	forever
.	SENT	.
There	EX	there
's	VBZ	be
no	DT	no
need	NN	need
to	TO	to
rinse	VB	rinse
with	IN	with
Electrosol	NP	Electrosol
3-in-1	JJ	<unknown>
.	SENT	.
It	PP	it
's	VBZ	be
3-in-1	JJ	<unknown>
formula	NN	formula
lifts	NNS	lift
,	,	,
stains	NNS	stain
,	,	,
cleans	VBZ	clean
,	,	,
and	CC	and
shines	NNS	shine
for	IN	for
100	CD	@card@
%	NN	%
clean	JJ	clean
dishes	NNS	dish
.	SENT	.
Ooh	NP	Ooh
,	,	,
sparkling	JJ	sparkling
.	SENT	.
Electrosol	NP	Electrosol
3-in-1	JJ	<unknown>
tabs	NNS	tab
.	SENT	.
