When	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
skirts	NNS	skirt
,	,	,
make	VB	make
them	PP	them
on	IN	on
a	DT	a
mini	NN	mini
.	SENT	.
A	DT	a
little	RB	little
less	JJR	less
skirt	NN	skirt
,	,	,
a	DT	a
lot	NN	lot
more	JJR	more
leg	NN	leg
.	SENT	.
More	JJR	more
leg	NN	leg
,	,	,
less	JJR	less
money	NN	money
.	SENT	.
You	PP	you
gotta	VB	gotta
get	VB	get
this	DT	this
look	NN	look
.	SENT	.
Only	RB	only
,	,	,
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
.	SENT	.
You	PP	you
gotta	VB	gotta
get	VB	get
this	DT	this
look	NN	look
.	SENT	.
