Feeling	VBG	feel
that	DT	that
big	JJ	big
cold	NN	cold
all	DT	all
over	IN	over
your	PP$	your
body	NN	body
?	SENT	?
Immerse	VB	immerse
yourself	PP	yourself
in	IN	in
total	JJ	total
cold	JJ	cold
relief	NN	relief
with	IN	with
Alka-Seltzer	NN	Alka-Seltzer
Plus	NP	Plus
.	SENT	.
Liquid	JJ	liquid
medicine	NN	medicine
that	WDT	that
speeds	VBZ	speed
relief	NN	relief
to	TO	to
every	DT	every
inch	NN	inch
of	IN	of
you	PP	you
.	SENT	.
For	IN	for
big	JJ	big
relief	NN	relief
fast	RB	fast
.	SENT	.
Alka-Seltzer	NN	Alka-Seltzer
Plus	CC	plus
liquidates	VBZ	liquidate
your	PP$	your
big	JJ	big
cold	NN	cold
all	RB	all
over	RB	over
.	SENT	.
Also	RB	also
available	JJ	available
in	IN	in
new	JJ	new
liquid	NN	liquid
.	SENT	.
Alka-Seltzer	NN	Alka-Seltzer
Plus	NP	Plus
.	SENT	.
