Concerned	VBN	concern
about	IN	about
bad	JJ	bad
breath	NN	breath
?	SENT	?
Listerine	NP	Listerine
Pocket	NN	pocket
Packs	VBZ	pack
dissolve	VB	dissolve
in	IN	in
seconds	NNS	second
,	,	,
killing	VBG	kill
bad	JJ	bad
breath	NN	breath
germs	NNS	germ
to	TO	to
freshen	VB	freshen
your	PP$	your
breath	NN	breath
instantly	RB	instantly
.	SENT	.
Listerine	NP	Listerine
Pocket	NN	pocket
Pack	NP	Pack
Strips	VBZ	strip
.	SENT	.
Now	RB	now
try	VB	try
less	RBR	less
intense	JJ	intense
fresh	JJ	fresh
citrus	NN	citrus
.	SENT	.
