There	EX	there
's	VBZ	be
only	RB	only
one	CD	one
word	NN	word
for	IN	for
the	DT	the
world	NN	world
's	POS	's
most	RBS	most
advanced	JJ	advanced
bra	NN	bra
.	SENT	.
IPEX	NP	<unknown>
.	SENT	.
Victoria	NP	Victoria
's	POS	's
Secret	NP	Secret
's	POS	's
revolutionary	JJ	revolutionary
IPEX	NN	<unknown>
.	SENT	.
And	CC	and
now	RB	now
,	,	,
patent-pending	VBG	patent-pend
IPEX	NP	<unknown>
is	VBZ	be
available	JJ	available
in	IN	in
an	DT	an
all-new	JJ	all-new
sexy	JJ	sexy
demi	NNS	<unknown>
.	SENT	.
The	DT	the
Victoria	NP	Victoria
's	POS	's
Secret	NP	Secret
IPEX	NP	<unknown>
Demi	NP	Demi
.	SENT	.
Do	VB	do
you	PP	you
IPEX	JJ	<unknown>
?	SENT	?
Do	VB	do
you	PP	you
IPEX	JJ	<unknown>
?	SENT	?
Do	VB	do
you	PP	you
IPEX	JJ	<unknown>
?	SENT	?
Do	VB	do
you	PP	you
IPEX	NP	<unknown>
?	SENT	?
IPEX	NP	<unknown>
!	SENT	!
I	PP	I
have	VBP	have
never	RB	never
seen	VBN	see
IPEX	NP	<unknown>
as	IN	as
a	DT	a
part	NN	part
of	IN	of
a	DT	a
dress	NN	dress
code	NN	code
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
perfect	JJ	perfect
IPEX	NP	<unknown>
,	,	,
the	DT	the
only	JJ	only
IPEX	NN	<unknown>
I	PP	I
've	VBP	have
ever	RB	ever
seen	VBN	see
.	SENT	.
It	PP	it
's	VBZ	be
like	IN	like
a	DT	a
part	NN	part
of	IN	of
a	DT	a
dress	NN	dress
code	NN	code
,	,	,
but	CC	but
even	RB	even
more	RBR	more
IPEX	JJ	<unknown>
.	SENT	.
It	PP	it
's	VBZ	be
a	DT	a
perfect	JJ	perfect
IPEX	NN	<unknown>
,	,	,
even	RB	even
more	JJR	more
IPEX	NN	<unknown>
.	SENT	.
Lucille	NP	Lucille
and	CC	and
her	PP$	her
band	NN	band
,	,	,
IPEX	NP	<unknown>
.	SENT	.
