Jack	NP	Jack
,	,	,
come	VBN	come
on	IN	on
,	,	,
you	PP	you
're	VBP	be
almost	RB	almost
there	RB	there
.	SENT	.
I	PP	I
ca	MD	ca
n't	RB	n't
,	,	,
I	PP	I
ca	MD	ca
n't	RB	n't
.	SENT	.
Do	VBP	do
n't	RB	n't
look	VB	look
down	RP	down
.	SENT	.
Look	VB	look
into	IN	into
my	PP$	my
eyes	NNS	eye
.	SENT	.
We	PP	we
're	VBP	be
almost	RB	almost
there	RB	there
.	SENT	.
Come	VBN	come
on	IN	on
.	SENT	.
Okay	RB	okay
,	,	,
come	VB	come
on	RP	on
.	SENT	.
Yeah	RB	yeah
.	SENT	.
Looks	NNS	look
like	VBP	like
you	PP	you
guys	NNS	guy
are	VBP	be
ready	JJ	ready
to	TO	to
climb	VB	climb
.	SENT	.
Somewhere	RB	somewhere
between	IN	between
the	DT	the
helicopter	NN	helicopter
tour	NN	tour
,	,	,
deep	JJ	deep
sea	NN	sea
fishing	NN	fishing
,	,	,
and	CC	and
the	DT	the
rock	NN	rock
wall	NN	wall
,	,	,
it	PP	it
hits	VBZ	hit
you	PP	you
.	SENT	.
This	DT	this
is	VBZ	be
way	RB	way
more	JJR	more
than	IN	than
a	DT	a
cruise	NN	cruise
.	SENT	.
See	VB	see
for	IN	for
yourself	PP	yourself
at	IN	at
royalcaribbean.com	NN	<unknown>
and	CC	and
get	VB	get
out	RP	out
there	RB	there
.	SENT	.
Have	VBP	have
a	DT	a
great	JJ	great
day	NN	day
.	SENT	.
