All	PDT	all
that	DT	that
nasty	JJ	nasty
stuff	NN	stuff
deep	RB	deep
down	RB	down
in	IN	in
your	PP$	your
pores	NNS	pore
does	VBZ	do
n't	RB	n't
stand	VB	stand
a	DT	a
chance	NN	chance
.	SENT	.
Bure-Pore	NP	<unknown>
Strips	VBZ	strip
instantly	RB	instantly
remove	VB	remove
blackheads	NNS	blackhead
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
in	IN	in
just	RB	just
one	CD	one
use	NN	use
they	PP	they
're	VBP	be
twice	RB	twice
as	RB	as
effective	JJ	effective
as	IN	as
other	JJ	other
cleansers	NNS	cleanser
out	IN	out
there	RB	there
.	SENT	.
