Your	PP$	your
internet	NN	Internet
's	VBZ	be
slowing	VBG	slow
you	PP	you
down	RP	down
?	SENT	?
Get	VB	get
Telocity	NP	<unknown>
High	NP	High
Velocity	NN	velocity
Internet	NN	Internet
and	CC	and
push	VB	push
the	DT	the
play	NN	play
button	NN	button
on	IN	on
life	NN	life
.	SENT	.
You	PP	you
ai	VBP	ai
n't	RB	n't
seen	VBN	see
nothing	NN	nothing
yet	RB	yet
.	SENT	.
It	PP	it
's	VBZ	be
something	NN	something
that	IN	that
you	PP	you
're	VBP	be
never	RB	never
gonna	VBG	gonna
forget	VB	forget
.	SENT	.
This	DT	this
is	VBZ	be
Telocity	NP	<unknown>
High	NP	High
Velocity	NN	velocity
DSL	NP	DSL
Internet	NP	Internet
Service	NP	Service
.	SENT	.
Experience	VB	experience
the	DT	the
net	NN	net
like	IN	like
never	RB	never
before	RB	before
.	SENT	.
Baby	NN	baby
,	,	,
you	PP	you
just	RB	just
ai	VBP	ai
n't	RB	n't
seen	VBN	see
nothing	NN	nothing
yet	RB	yet
.	SENT	.
Sign	VB	sign
up	RB	up
now	RB	now
and	CC	and
get	VB	get
free	JJ	free
activation	NN	activation
with	IN	with
no	DT	no
annual	JJ	annual
contract	NN	contract
at	IN	at
telocity.com	NN	<unknown>
.	SENT	.
You	PP	you
ai	VBP	ai
n't	RB	n't
seen	VBN	see
nothing	NN	nothing
yet	RB	yet
.	SENT	.
