Worried	VBN	worry
about	IN	about
germs	NNS	germ
?	SENT	?
Help	VB	help
protect	VB	protect
your	PP$	your
family	NN	family
with	IN	with
Dial	NP	Dial
Complete	JJ	complete
.	SENT	.
Its	PP$	its
unique	JJ	unique
foaming	VBG	foam
formula	NN	formula
is	VBZ	be
10	CD	@card@
times	NNS	time
more	RBR	more
effective	JJ	effective
at	IN	at
killing	VBG	kill
germs	NNS	germ
than	IN	than
ordinary	JJ	ordinary
liquid	JJ	liquid
hand	NN	hand
soap	NN	soap
.	SENT	.
Are	VBP	be
n't	RB	n't
you	PP	you
glad	JJ	glad
you	PP	you
used	VBD	use
Dial	NP	Dial
?	SENT	?
