what	WP	what
some	DT	some
people	NNS	people
will	MD	will
do	VB	do
for	IN	for
the	DT	the
freshness	NN	freshness
of	IN	of
laundry	NN	laundry
dried	VBN	dry
in	IN	in
the	DT	the
cleanest	JJS	clean
breeze	NN	breeze
introducing	VBG	introduce
a	DT	a
new	JJ	new
scent	NN	scent
from	IN	from
tide	NN	tide
tide	NN	tide
clean	JJ	clean
breeze	NN	breeze
perhaps	RB	perhaps
the	DT	the
cleanest	JJS	clean
scent	NN	scent
you	PP	you
can	MD	can
get	VB	get
without	IN	without
the	DT	the
commute	NN	commute
new	JJ	new
tide	NN	tide
clean	JJ	clean
breeze	NN	breeze
also	RB	also
available	JJ	available
in	IN	in
