Hi	UH	hi
,	,	,
I	PP	I
'm	VBP	be
Dan	NP	Dan
Dolan	NP	Dolan
.	SENT	.
Really	RB	really
tough	JJ	tough
stains	NNS	stain
like	IN	like
filthy	JJ	filthy
footprints	NNS	footprint
,	,	,
burnt	VBN	burn
on	IN	on
grease	NN	grease
,	,	,
even	RB	even
ground	NN	ground
in	IN	in
dirt	NN	dirt
are	VBP	be
a	DT	a
challenge	NN	challenge
for	IN	for
some	DT	some
cleaners	NNS	cleaner
.	SENT	.
But	CC	but
now	RB	now
,	,	,
there	EX	there
's	VBZ	be
new	JJ	new
Easy-Off	NP	<unknown>
BAM	NP	BAM
Power	NP	Power
Cleaning	NN	cleaning
Crystals	NNS	crystal
.	SENT	.
It	PP	it
's	VBZ	be
easy	JJ	easy
.	SENT	.
Mix	NN	mix
with	IN	with
water	NN	water
to	TO	to
release	VB	release
its	PP$	its
powerful	JJ	powerful
foaming	VBG	foam
action	NN	action
.	SENT	.
And	CC	and
easily	RB	easily
remove	VB	remove
dirt	NN	dirt
and	CC	and
spills	NNS	spill
on	IN	on
floors	NNS	floor
.	SENT	.
Or	CC	or
sprinkle	VBP	sprinkle
it	PP	it
on	IN	on
directly	RB	directly
.	SENT	.
Add	VB	add
water	NN	water
,	,	,
and	CC	and
watch	VB	watch
it	PP	it
cut	VB	cut
through	IN	through
baked	VBN	bake
on	IN	on
grease	NN	grease
.	SENT	.
Inside	RB	inside
,	,	,
outside	RB	outside
.	SENT	.
Easy-Off	NP	<unknown>
BAM	NP	BAM
takes	VBZ	take
care	NN	care
of	IN	of
it	PP	it
all	RB	all
.	SENT	.
Get	VB	get
new	JJ	new
Easy-Off	NN	<unknown>
BAM	NP	BAM
Power	NP	Power
Cleaning	NN	cleaning
Crystals	NNS	crystal
.	SENT	.
And	CC	and
the	DT	the
dirt	NN	dirt
is	VBZ	be
gone	VBN	go
.	SENT	.
