Where	WRB	where
did	VBD	do
I	PP	I
get	VB	get
this	DT	this
glow	NN	glow
?	SENT	?
In	IN	in
Bermuda	NP	Bermuda
?	SENT	?
Or	CC	or
from	IN	from
a	DT	a
wild	JJ	wild
fling	NN	fling
?	SENT	?
With	IN	with
a	DT	a
moisturizer	NN	moisturizer
.	SENT	.
New	NP	New
Juergens	NP	Juergens
Natural	NP	Natural
Glow	NN	glow
.	SENT	.
Moisturize	VB	moisturize
daily	RB	daily
to	TO	to
keep	VB	keep
your	PP$	your
healthy	JJ	healthy
summer	NN	summer
glow	NN	glow
all	DT	all
year	NN	year
long	RB	long
.	SENT	.
Juergens	NP	Juergens
Glowing	JJ	glowing
Skin	NN	skin
is	VBZ	be
in	IN	in
.	SENT	.
