It	PP	it
opens	VBZ	open
outdoors	RB	outdoors
in	IN	in
bright	JJ	bright
daylight	NN	daylight
with	IN	with
a	DT	a
middle-aged	JJ	middle-aged
,	,	,
light-skinned	JJ	light-skinned
man	NN	man
with	IN	with
curly	JJ	curly
brown	JJ	brown
hair	NN	hair
and	CC	and
a	DT	a
full	JJ	full
reddish-brown	JJ	reddish-brown
beard	NN	beard
standing	NN	standing
in	IN	in
a	DT	a
green	JJ	green
backyard	NN	backyard
or	CC	or
garden	NN	garden
area	NN	area
.	SENT	.
He	PP	he
wears	VBZ	wear
a	DT	a
dark	JJ	dark
gray	JJ	gray
polo	NN	polo
shirt	NN	shirt
and	CC	and
looks	VBZ	look
uncomfortable	JJ	uncomfortable
,	,	,
tilting	VBG	tilt
his	PP$	his
head	NN	head
slightly	RB	slightly
while	IN	while
scratching	VBG	scratch
the	DT	the
side	NN	side
of	IN	of
his	PP$	his
neck	NN	neck
.	SENT	.
A	DT	a
dark	JJ	dark
barbecue	NN	barbecue
grill	NN	grill
is	VBZ	be
partly	RB	partly
visible	JJ	visible
at	IN	at
the	DT	the
left	JJ	left
edge	NN	edge
,	,	,
with	IN	with
leafy	JJ	leafy
trees	NNS	tree
and	CC	and
a	DT	a
wooden	JJ	wooden
fence	NN	fence
behind	IN	behind
him	PP	him
.	SENT	.
The	DT	the
view	NN	view
then	RB	then
splits	VBZ	split
in	IN	in
two	CD	two
:	:	:
on	IN	on
the	DT	the
left	NN	left
,	,	,
an	DT	an
adult	JJ	adult
light-skinned	JJ	light-skinned
woman	NN	woman
with	IN	with
long	JJ	long
brown	JJ	brown
hair	NN	hair
sits	VBZ	sit
on	IN	on
a	DT	a
park	NN	park
bench	NN	bench
beside	IN	beside
a	DT	a
lake	NN	lake
,	,	,
wearing	VBG	wear
a	DT	a
sleeveless	JJ	sleeveless
blue	JJ	blue
dress	NN	dress
and	CC	and
rubbing	VBG	rub
or	CC	or
scratching	VBG	scratch
her	PP$	her
upper	JJ	upper
arm	NN	arm
with	IN	with
a	DT	a
pained	JJ	pained
,	,	,
irritated	JJ	irritated
expression	NN	expression
;	:	;
on	IN	on
the	DT	the
right	NN	right
,	,	,
the	DT	the
bearded	JJ	bearded
man	NN	man
continues	VBZ	continue
scratching	VBG	scratch
his	PP$	his
neck	NN	neck
.	SENT	.
The	DT	the
setting	VBG	set
changes	NNS	change
to	TO	to
a	DT	a
modern	JJ	modern
office	NN	office
.	SENT	.
A	DT	a
Black	NP	Black
adult	NN	adult
man	NN	man
in	IN	in
a	DT	a
dark	JJ	dark
polo	NN	polo
sits	VBZ	sit
at	IN	at
a	DT	a
desk	NN	desk
in	IN	in
front	NN	front
of	IN	of
an	DT	an
open	JJ	open
silver	NN	silver
laptop	NN	laptop
,	,	,
with	IN	with
glass	NN	glass
walls	NNS	wall
and	CC	and
colorful	JJ	colorful
office	NN	office
details	NNS	detail
behind	IN	behind
him	PP	him
.	SENT	.
He	PP	he
presses	VBZ	press
one	CD	one
hand	NN	hand
behind	IN	behind
his	PP$	his
neck	NN	neck
as	RB	as
if	IN	if
scratching	VBG	scratch
,	,	,
frowning	VBG	frown
down	RP	down
at	IN	at
the	DT	the
computer	NN	computer
.	SENT	.
The	DT	the
screen	NN	screen
then	RB	then
divides	VBZ	divide
again	RB	again
,	,	,
adding	VBG	add
a	DT	a
blonde	JJ	blonde
,	,	,
light-skinned	JJ	light-skinned
adult	NN	adult
woman	NN	woman
on	IN	on
the	DT	the
right	NN	right
.	SENT	.
She	PP	she
stands	VBZ	stand
indoors	RB	indoors
near	IN	near
what	WP	what
appears	VBZ	appear
to	TO	to
be	VB	be
an	DT	an
open	JJ	open
car	NN	car
door	NN	door
or	CC	or
garage	NN	garage
area	NN	area
,	,	,
wearing	VBG	wear
a	DT	a
loose	JJ	loose
white	JJ	white
button-front	NN	button-front
top	NN	top
,	,	,
rubbing	VBG	rub
her	PP$	her
forearm	NN	forearm
and	CC	and
grimacing	VBG	grimace
.	SENT	.
Another	DT	another
scene	NN	scene
shows	VBZ	show
a	DT	a
Black	NP	Black
adult	NN	adult
man	NN	man
with	IN	with
a	DT	a
close-cropped	JJ	close-cropped
haircut	NN	haircut
and	CC	and
trimmed	VBN	trim
beard	NN	beard
sitting	VBG	sit
on	IN	on
a	DT	a
white	JJ	white
couch	NN	couch
in	IN	in
a	DT	a
bright	JJ	bright
living	NN	living
room	NN	room
.	SENT	.
He	PP	he
wears	VBZ	wear
a	DT	a
blue	JJ	blue
and	CC	and
green	JJ	green
plaid	JJ	plaid
shirt	NN	shirt
and	CC	and
grips	VBZ	grip
one	CD	one
forearm	NN	forearm
with	IN	with
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
scratching	VBG	scratch
intensely	RB	intensely
while	IN	while
making	VBG	make
a	DT	a
tense	JJ	tense
,	,	,
almost	RB	almost
clenched	VBN	clench
expression	NN	expression
.	SENT	.
A	DT	a
low	JJ	low
view	NN	view
looks	VBZ	look
up	RP	up
at	IN	at
a	DT	a
young	JJ	young
woman	NN	woman
with	IN	with
long	JJ	long
dark	JJ	dark
hair	NN	hair
against	IN	against
a	DT	a
blue	JJ	blue
sky	NN	sky
with	IN	with
clouds	NNS	cloud
.	SENT	.
She	PP	she
stares	VBZ	stare
downward	RB	downward
with	IN	with
wide	JJ	wide
,	,	,
worried	JJ	worried
eyes	NNS	eye
while	IN	while
scratching	VBG	scratch
her	PP$	her
forearm	NN	forearm
close	NN	close
to	TO	to
the	DT	the
foreground	NN	foreground
.	SENT	.
The	DT	the
bearded	JJ	bearded
man	NN	man
is	VBZ	be
also	RB	also
seen	VBN	see
from	IN	from
a	DT	a
low	JJ	low
angle	NN	angle
,	,	,
looking	VBG	look
down	RB	down
while	IN	while
scratching	VBG	scratch
,	,	,
his	PP$	his
face	NN	face
filling	VBG	fill
the	DT	the
top	NN	top
of	IN	of
the	DT	the
image	NN	image
against	IN	against
the	DT	the
sky	NN	sky
.	SENT	.
The	DT	the
woman	NN	woman
in	IN	in
the	DT	the
blue	JJ	blue
dress	NN	dress
appears	VBZ	appear
in	IN	in
a	DT	a
close	JJ	close
view	NN	view
outdoors	RB	outdoors
,	,	,
her	PP$	her
eyes	NNS	eye
wide	JJ	wide
and	CC	and
fixed	VBN	fix
forward	RB	forward
,	,	,
one	CD	one
hand	NN	hand
still	RB	still
on	IN	on
her	PP$	her
shoulder	NN	shoulder
as	IN	as
if	IN	if
caught	VBN	catch
in	IN	in
the	DT	the
urge	NN	urge
to	TO	to
scratch	VB	scratch
.	SENT	.
The	DT	the
man	NN	man
in	IN	in
the	DT	the
plaid	JJ	plaid
shirt	NN	shirt
is	VBZ	be
shown	VBN	show
from	IN	from
a	DT	a
low	JJ	low
angle	NN	angle
as	IN	as
well	RB	well
,	,	,
looking	VBG	look
down	RP	down
at	IN	at
his	PP$	his
arm	NN	arm
with	IN	with
concern	NN	concern
while	IN	while
his	PP$	his
hand	NN	hand
moves	NNS	move
near	IN	near
the	DT	the
foreground	NN	foreground
.	SENT	.
The	DT	the
