Inside	IN	inside
a	DT	a
bright	JJ	bright
,	,	,
plant-filled	JJ	plant-filled
living	NN	living
room	NN	room
,	,	,
a	DT	a
shaggy	JJ	shaggy
black-and-white	JJ	black-and-white
dog	NN	dog
lounges	NNS	lounge
upright	JJ	upright
on	IN	on
a	DT	a
cream	NN	cream
sofa	NN	sofa
,	,	,
surrounded	VBN	surround
by	IN	by
beige	JJ	beige
and	CC	and
green	JJ	green
cushions	NNS	cushion
.	SENT	.
A	DT	a
TV	NN	TV
remote	JJ	remote
rests	NNS	rest
on	IN	on
the	DT	the
seat	NN	seat
in	IN	in
front	NN	front
of	IN	of
it	PP	it
.	SENT	.
Through	IN	through
the	DT	the
large	JJ	large
window	NN	window
behind	IN	behind
the	DT	the
sofa	NN	sofa
,	,	,
a	DT	a
bearded	JJ	bearded
adult	NN	adult
man	NN	man
in	IN	in
a	DT	a
tan	JJ	tan
shirt	NN	shirt
is	VBZ	be
outside	JJ	outside
in	IN	in
the	DT	the
garden	NN	garden
,	,	,
handling	VBG	handle
a	DT	a
lawn-spraying	JJ	<unknown>
container	NN	container
.	SENT	.
The	DT	the
dog	NN	dog
’s	POS	's
posture	NN	posture
looks	VBZ	look
idle	JJ	idle
and	CC	and
cooped	VBN	coop
up	RP	up
,	,	,
with	IN	with
its	PP$	its
fluffy	JJ	fluffy
paws	NNS	paw
raised	VBN	raise
and	CC	and
its	PP$	its
head	NN	head
turned	VBN	turn
toward	IN	toward
the	DT	the
window	NN	window
.	SENT	.
The	DT	the
dog	NN	dog
reclines	VBZ	recline
against	IN	against
the	DT	the
cushions	NNS	cushion
with	IN	with
a	DT	a
smartphone	NN	smartphone
propped	VBN	prop
in	IN	in
front	NN	front
of	IN	of
it	PP	it
.	SENT	.
On	IN	on
the	DT	the
phone	NN	phone
screen	NN	screen
,	,	,
videos	NNS	video
of	IN	of
dogs	NNS	dog
outdoors	RB	outdoors
appear	VBP	appear
,	,	,
including	VBG	include
a	DT	a
dog	NN	dog
standing	NN	standing
in	IN	in
green	JJ	green
grass	NN	grass
and	CC	and
then	RB	then
an	DT	an
image	NN	image
of	IN	of
a	DT	a
bright	JJ	bright
yellow	JJ	yellow
fire	NN	fire
hydrant	NN	hydrant
.	SENT	.
The	DT	the
dog	NN	dog
’s	POS	's
furry	JJ	furry
paw	NN	paw
lifts	NNS	lift
and	CC	and
swipes	NNS	swipe
near	IN	near
the	DT	the
screen	NN	screen
,	,	,
as	RB	as
if	IN	if
scrolling	VBG	scroll
.	SENT	.
As	IN	as
the	DT	the
phone	NN	phone
remains	VBZ	remain
on	IN	on
the	DT	the
cushion	NN	cushion
,	,	,
the	DT	the
dog	NN	dog
turns	VBZ	turn
its	PP$	its
head	NN	head
toward	IN	toward
the	DT	the
window	NN	window
,	,	,
where	WRB	where
the	DT	the
man	NN	man
outside	RB	outside
comes	VBZ	come
into	IN	into
clearer	JJR	clear
view	NN	view
.	SENT	.
He	PP	he
stands	VBZ	stand
on	IN	on
the	DT	the
patio	NN	patio
in	IN	in
a	DT	a
sunny	JJ	sunny
,	,	,
green	JJ	green
backyard	NN	backyard
,	,	,
holding	VBG	hold
a	DT	a
white	JJ	white
jug	NN	jug
with	IN	with
a	DT	a
hose	NN	hose
and	CC	and
spray	NN	spray
wand	NN	wand
.	SENT	.
The	DT	the
jug	NN	jug
has	VBZ	have
a	DT	a
bold	JJ	bold
red	JJ	red
label	NN	label
that	WDT	that
reads	VBZ	read
“	``	"
WEED	NN	weed
KILLER	NN	killer
.	SENT	.
”	''	"
He	PP	he
looks	VBZ	look
toward	IN	toward
the	DT	the
dog	NN	dog
through	IN	through
the	DT	the
glass	NN	glass
while	IN	while
holding	VBG	hold
the	DT	the
container	NN	container
and	CC	and
sprayer	NN	sprayer
,	,	,
with	IN	with
garden	NN	garden
plants	NNS	plant
and	CC	and
a	DT	a
patio	NN	patio
umbrella	NN	umbrella
behind	IN	behind
him	PP	him
.	SENT	.
Back	RB	back
on	IN	on
the	DT	the
sofa	NN	sofa
,	,	,
the	DT	the
dog	NN	dog
lies	VBZ	lie
partly	RB	partly
on	IN	on
its	PP$	its
side	NN	side
with	IN	with
a	DT	a
smartphone	NN	smartphone
pressed	VBN	press
near	IN	near
its	PP$	its
head	NN	head
,	,	,
as	RB	as
though	IN	though
using	VBG	use
it	PP	it
.	SENT	.
Then	RB	then
the	DT	the
dog	NN	dog
faces	VBZ	face
a	DT	a
television	NN	television
across	IN	across
the	DT	the
room	NN	room
.	SENT	.
On	IN	on
the	DT	the
TV	NN	TV
screen	NN	screen
is	VBZ	be
a	DT	a
bright	JJ	bright
garden	NN	garden
scene	NN	scene
featuring	VBG	feature
Spruce	NP	Spruce
packaging	NN	packaging
:	:	:
a	DT	a
green	JJ	green
container	NN	container
with	IN	with
a	DT	a
spray	NN	spray
wand	NN	wand
.	SENT	.
Large	JJ	large
on-screen	NN	on-screen
text	NN	text
reads	VBZ	read
,	,	,
“	``	"
SAFE	JJ	safe
FOR	IN	for
USE	NN	use
AROUND	IN	around
PEOPLE	NNS	people
,	,	,
PETS	NNS	pet
&	CC	&
BEES	NNS	bee
,	,	,
”	''	"
with	IN	with
paw	NN	paw
and	CC	and
bee	NN	bee
icons	NNS	icon
above	IN	above
it	PP	it
and	CC	and
a	DT	a
smaller	JJR	small
note	NN	note
below	IN	below
indicating	VBG	indicate
“	``	"
when	WRB	when
used	VBN	use
as	IN	as
directed	VBN	direct
.	SENT	.
”	''	"
The	DT	the
TV	NN	TV
image	NN	image
changes	NNS	change
to	TO	to
a	DT	a
person	NN	person
outdoors	RB	outdoors
holding	VBG	hold
the	DT	the
Spruce	NP	Spruce
product	NN	product
near	IN	near
a	DT	a
landscaped	VBN	landscape
area	NN	area
,	,	,
while	IN	while
the	DT	the
same	JJ	same
safety	NN	safety
message	NN	message
remains	VBZ	remain
large	JJ	large
on	IN	on
the	DT	the
right	JJ	right
side	NN	side
of	IN	of
the	DT	the
screen	NN	screen
.	SENT	.
The	DT	the
dog	NN	dog
suddenly	RB	suddenly
becomes	VBZ	become
animated	JJ	animated
.	SENT	.
It	PP	it
sits	VBZ	sit
upright	RB	upright
on	IN	on
the	DT	the
sofa	NN	sofa
,	,	,
mouth	NN	mouth
open	NN	open
and	CC	and
tongue	NN	tongue
visible	JJ	visible
,	,	,
then	RB	then
springs	VBZ	spring
forward	RB	forward
off	IN	off
the	DT	the
cushions	NNS	cushion
.	SENT	.
A	DT	a
set	NN	set
of	IN	of
keys	NNS	key
with	IN	with
a	DT	a
paw-shaped	JJ	paw-shaped
keychain	NN	keychain
lies	VBZ	lie
on	IN	on
a	DT	a
round	JJ	round
wooden	JJ	wooden
coffee	NN	coffee
table	NN	table
.	SENT	.
The	DT	the
dog	NN	dog
rushes	VBZ	rush
up	RP	up
to	TO	to
the	DT	the
table	NN	table
,	,	,
stretches	VBZ	stretch
its	PP$	its
muzzle	NN	muzzle
over	IN	over
the	DT	the
edge	NN	edge
,	,	,
and	CC	and
grabs	VBZ	grab
the	DT	the
keys	NNS	key
in	IN	in
its	PP$	its
mouth	NN	mouth
.	SENT	.
A	DT	a
close	JJ	close
view	NN	view
shows	VBZ	show
its	PP$	its
fluffy	JJ	fluffy
white	JJ	white
paw	NN	paw
and	CC	and
muzzle	NN	muzzle
near	IN	near
a	DT	a
car	NN	car
door	NN	door
and	CC	and
ignition	NN	ignition
area	NN	area
,	,	,
with	IN	with
the	DT	the
paw-shaped	JJ	paw-shaped
keychain	NN	keychain
dangling	VBG	dangle
from	IN	from
the	DT	the
keys	NNS	key
.	SENT	.
The	DT	the
scene	NN	scene
then	RB	then
moves	VBZ	move
outside	IN	outside
to	TO	to
the	DT	the
rear	NN	rear
of	IN	of
a	DT	a
small	JJ	small
white	JJ	white
vintage	JJ	vintage
convertible	NN	convertible
on	IN	on
a	DT	a
quiet	JJ	quiet
,	,	,
tree-lined	JJ	tree-lined
suburban	JJ	suburban
street	NN	street
.	SENT	.
Its	PP$	its
license	NN	license
plate	NN	plate
reads	VBZ	read
“	``	"
IH8WDZ	NP	<unknown>
,	,	,
”	''	"
and	CC	and
the	DT	the
car	NN	car
drives	VBZ	drive
away	RB	away
down	RB	down
the	DT	the
road	NN	road
.	SENT	.
In	IN	in
a	DT	a
garden	NN	garden
center	NN	center
or	CC	or
home-improvement	NN	home-improvement
store	NN	store
,	,	,
the	DT	the
same	JJ	same
shaggy	JJ	shaggy
dog	NN	dog
sits	VBZ	sit
obediently	RB	obediently
in	IN	in
front	NN	front
of	IN	of
a	DT	a
tall	JJ	tall
,	,	,
bright	JJ	bright
green	JJ	green
Spruce	NP	Spruce
display	NN	display
stocked	VBN	stock
with	IN	with
bottles	NNS	bottle
and	CC	and
containers	NNS	container
.	SENT	.
The	DT	the
display	NN	display
is	VBZ	be
topped	VBN	top
with	IN	with
the	DT	the
large	JJ	large
white	JJ	white
brand	NN	brand
name	NN	name
“	``	"
Spruce	NP	Spruce
.	SENT	.
”	''	"
A	DT	a
woman	NN	woman
with	IN	with
long	JJ	long
dark	JJ	dark
hair	NN	hair
,	,	,
