Hey	UH	hey
,	,	,
do	VB	do
you	PP	you
have	VBP	have
a	DT	a
gap	NN	gap
problem	NN	problem
and	CC	and
are	VBP	be
looking	VBG	look
for	IN	for
a	DT	a
practical	JJ	practical
and	CC	and
reliable	JJ	reliable
solution	NN	solution
?	SENT	?
Well	RB	well
,	,	,
then	RB	then
look	VBP	look
no	RB	no
further	JJR	further
.	SENT	.
Loctite	NP	Loctite
Tite	NP	<unknown>
Foam	NN	foam
is	VBZ	be
the	DT	the
perfect	JJ	perfect
tool	NN	tool
to	TO	to
fill	VB	fill
cracks	NNS	crack
,	,	,
holes	NNS	hole
,	,	,
and	CC	and
gaps	NNS	gap
around	IN	around
the	DT	the
house	NN	house
.	SENT	.
It	PP	it
has	VBZ	have
four	CD	four
times	NNS	time
more	JJR	more
density	NN	density
than	IN	than
conventional	JJ	conventional
foam	NN	foam
,	,	,
providing	VBG	provide
better	JJR	good
insulation	NN	insulation
and	CC	and
durability	NN	durability
.	SENT	.
Loctite	NP	Loctite
Tite	NP	<unknown>
Foam	NN	foam
flexes	NNS	flex
with	IN	with
building	NN	building
materials	NNS	material
and	CC	and
is	VBZ	be
less	RBR	less
likely	JJ	likely
to	TO	to
break	VB	break
or	CC	or
crack	VB	crack
.	SENT	.
Gap	NN	gap
problem	NN	problem
?	SENT	?
No	DT	no
problem	NN	problem
.	SENT	.
Loctite	NP	Loctite
.	SENT	.
