To	TO	to
show	VB	show
you	PP	you
just	RB	just
how	WRB	how
much	JJ	much
people	NNS	people
are	VBP	be
loving	VBG	love
Taco	NP	Taco
Bell	NP	Bell
's	POS	's
all-new	JJ	all-new
breakfast	NN	breakfast
,	,	,
we	PP	we
asked	VBD	ask
some	DT	some
very	RB	very
special	JJ	special
people	NNS	people
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Ronald	NP	Ronald
McDonald	NP	McDonald
.	SENT	.
You	PP	you
're	VBP	be
home	RB	home
!	SENT	!
I	PP	I
am	VBP	be
Ronald	NP	Ronald
McDonald	NP	McDonald
.	SENT	.
I	PP	I
'm	VBP	be
Ronald	NP	Ronald
McDonald	NP	McDonald
Jr.	NP	Jr.
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
Ronald	NP	Ronald
McDonald	NP	McDonald
III	NP	III
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Ronald	NP	Ronald
McDonald	NP	McDonald
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
think	VBP	think
?	SENT	?
It	PP	it
's	VBZ	be
really	RB	really
good	JJ	good
.	SENT	.
I	PP	I
'm	VBP	be
surprised	VBN	surprise
how	WRB	how
good	JJ	good
it	PP	it
is	VBZ	be
.	SENT	.
I	PP	I
love	VBP	love
the	DT	the
new	JJ	new
AM	NP	AM
Crunchwrap	NP	<unknown>
.	SENT	.
I	PP	I
'm	VBP	be
Ronald	NP	Ronald
McDonald	NP	McDonald
.	SENT	.
Ronald	NP	Ronald
McDonald	NP	McDonald
.	SENT	.
I	PP	I
'm	VBP	be
Ronald	NP	Ronald
McDonald	NP	McDonald
,	,	,
and	CC	and
I	PP	I
love	VBP	love
Taco	NP	Taco
Bell	NP	Bell
's	POS	's
new	JJ	new
breakfast	NN	breakfast
.	SENT	.
A	DT	a
delicious	JJ	delicious
new	JJ	new
breakfast	NN	breakfast
everyone	NN	everyone
can	MD	can
love	VB	love
,	,	,
even	RB	even
Ronald	NP	Ronald
McDonald	NP	McDonald
.	SENT	.
